Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2023-2024,ORCH,1001,General,2024-07-08,10:30,14:30,WRB-ACTIVE,WRB_UBC,Capstone Conference 08-Jul-2024 10:30 - ORCH 1001, , , 
UBCV,2023-2024,ORCH,1001,General,2024-07-02,8:00,17:00,WRB-ACTIVE,WRB_UBC,"Geering Up Tue, Wed, Thu, Fri (week(s): July 1, 2024) 8:00 - ORCH 1001", , , 
UBCV,2023-2024,ORCH,1001,General,2024-07-03,8:00,17:00,WRB-ACTIVE,WRB_UBC,"Geering Up Tue, Wed, Thu, Fri (week(s): July 1, 2024) 8:00 - ORCH 1001", , , 
UBCV,2023-2024,ORCH,1001,General,2024-07-04,8:00,17:00,WRB-ACTIVE,WRB_UBC,"Geering Up Tue, Wed, Thu, Fri (week(s): July 1, 2024) 8:00 - ORCH 1001", , , 
UBCV,2023-2024,ORCH,1001,General,2024-07-04,18:00,21:00,WRB-ACTIVE,WRB_UBC,"UBC Bridges Students Thursday (week(s): May 13, 2024-June 17, 2024, July 1, 2024-August 5, 2024) 18:00 - ORCH 1001", , , 
UBCV,2023-2024,ORCH,1001,General,2024-07-11,18:00,21:00,WRB-ACTIVE,WRB_UBC,"UBC Bridges Students Thursday (week(s): May 13, 2024-June 17, 2024, July 1, 2024-August 5, 2024) 18:00 - ORCH 1001", , , 
UBCV,2023-2024,ORCH,1001,General,2024-07-05,8:00,17:00,WRB-ACTIVE,WRB_UBC,"Geering Up Tue, Wed, Thu, Fri (week(s): July 1, 2024) 8:00 - ORCH 1001", , , 
UBCV,2023-2024,ORCH,3058,General,2024-07-08,8:00,17:00,WRB-ACTIVE,WRB_UBC,"Capstone Conference 08-Jul-2024 8:00 - ORCH 3004, ORCH 3058, ORCH 3074, ORCH 4002, ORCH 4074", , , 
UBCV,2023-2024,ORCH,3004,General,2024-07-08,8:00,17:00,WRB-ACTIVE,WRB_UBC,"Capstone Conference 08-Jul-2024 8:00 - ORCH 3004, ORCH 3058, ORCH 3074, ORCH 4002, ORCH 4074", , , 
UBCV,2023-2024,ORCH,4002,General,2024-07-08,8:00,17:00,WRB-ACTIVE,WRB_UBC,"Capstone Conference 08-Jul-2024 8:00 - ORCH 3004, ORCH 3058, ORCH 3074, ORCH 4002, ORCH 4074", , , 
UBCV,2023-2024,ORCH,4074,General,2024-07-08,8:00,17:00,WRB-ACTIVE,WRB_UBC,"Capstone Conference 08-Jul-2024 8:00 - ORCH 3004, ORCH 3058, ORCH 3074, ORCH 4002, ORCH 4074", , , 
UBCV,2023-2024,ORCH,3074,General,2024-07-08,8:00,17:00,WRB-ACTIVE,WRB_UBC,"Capstone Conference 08-Jul-2024 8:00 - ORCH 3004, ORCH 3058, ORCH 3074, ORCH 4002, ORCH 4074", , , 
UBCV,2023-2024,ORCH,3018,General,2024-07-01,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,4002,General,2024-07-01,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,3052,General,2024-07-01,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,3004,General,2024-07-01,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,4072,General,2024-07-01,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,3018,General,2024-07-02,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,4002,General,2024-07-02,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,3052,General,2024-07-02,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,3004,General,2024-07-02,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,4072,General,2024-07-02,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,3058,General,2024-07-02,8:30,12:30,WRB-ACTIVE,WRB_UBC,"ILSC 2024 Tue, Wed, Thu, Fri (week(s): July 1, 2024) 8:30 - ORCH 3004, ORCH 3016, ORCH 3058, ORCH 4002", , , 
UBCV,2023-2024,ORCH,4002,General,2024-07-02,8:30,12:30,WRB-ACTIVE,WRB_UBC,"ILSC 2024 Tue, Wed, Thu, Fri (week(s): July 1, 2024) 8:30 - ORCH 3004, ORCH 3016, ORCH 3058, ORCH 4002", , , 
UBCV,2023-2024,ORCH,3004,General,2024-07-02,8:30,12:30,WRB-ACTIVE,WRB_UBC,"ILSC 2024 Tue, Wed, Thu, Fri (week(s): July 1, 2024) 8:30 - ORCH 3004, ORCH 3016, ORCH 3058, ORCH 4002", , , 
UBCV,2023-2024,ORCH,3016,General,2024-07-02,8:30,12:30,WRB-ACTIVE,WRB_UBC,"ILSC 2024 Tue, Wed, Thu, Fri (week(s): July 1, 2024) 8:30 - ORCH 3004, ORCH 3016, ORCH 3058, ORCH 4002", , , 
UBCV,2023-2024,ORCH,3018,General,2024-07-03,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,4002,General,2024-07-03,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,3052,General,2024-07-03,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,3004,General,2024-07-03,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,4072,General,2024-07-03,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,3058,General,2024-07-03,8:30,12:30,WRB-ACTIVE,WRB_UBC,"ILSC 2024 Tue, Wed, Thu, Fri (week(s): July 1, 2024) 8:30 - ORCH 3004, ORCH 3016, ORCH 3058, ORCH 4002", , , 
UBCV,2023-2024,ORCH,4002,General,2024-07-03,8:30,12:30,WRB-ACTIVE,WRB_UBC,"ILSC 2024 Tue, Wed, Thu, Fri (week(s): July 1, 2024) 8:30 - ORCH 3004, ORCH 3016, ORCH 3058, ORCH 4002", , , 
UBCV,2023-2024,ORCH,3004,General,2024-07-03,8:30,12:30,WRB-ACTIVE,WRB_UBC,"ILSC 2024 Tue, Wed, Thu, Fri (week(s): July 1, 2024) 8:30 - ORCH 3004, ORCH 3016, ORCH 3058, ORCH 4002", , , 
UBCV,2023-2024,ORCH,3016,General,2024-07-03,8:30,12:30,WRB-ACTIVE,WRB_UBC,"ILSC 2024 Tue, Wed, Thu, Fri (week(s): July 1, 2024) 8:30 - ORCH 3004, ORCH 3016, ORCH 3058, ORCH 4002", , , 
UBCV,2023-2024,ORCH,3018,General,2024-07-04,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,4002,General,2024-07-04,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,3052,General,2024-07-04,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,3004,General,2024-07-04,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,4072,General,2024-07-04,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,3058,General,2024-07-04,8:30,12:30,WRB-ACTIVE,WRB_UBC,"ILSC 2024 Tue, Wed, Thu, Fri (week(s): July 1, 2024) 8:30 - ORCH 3004, ORCH 3016, ORCH 3058, ORCH 4002", , , 
UBCV,2023-2024,ORCH,4002,General,2024-07-04,8:30,12:30,WRB-ACTIVE,WRB_UBC,"ILSC 2024 Tue, Wed, Thu, Fri (week(s): July 1, 2024) 8:30 - ORCH 3004, ORCH 3016, ORCH 3058, ORCH 4002", , , 
UBCV,2023-2024,ORCH,3004,General,2024-07-04,8:30,12:30,WRB-ACTIVE,WRB_UBC,"ILSC 2024 Tue, Wed, Thu, Fri (week(s): July 1, 2024) 8:30 - ORCH 3004, ORCH 3016, ORCH 3058, ORCH 4002", , , 
UBCV,2023-2024,ORCH,3016,General,2024-07-04,8:30,12:30,WRB-ACTIVE,WRB_UBC,"ILSC 2024 Tue, Wed, Thu, Fri (week(s): July 1, 2024) 8:30 - ORCH 3004, ORCH 3016, ORCH 3058, ORCH 4002", , , 
UBCV,2023-2024,ORCH,3018,General,2024-07-05,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
UBCV,2023-2024,ORCH,4002,General,2024-07-05,13:00,16:30,WRB-ACTIVE,WRB_UBC,"MED A JUNE Mon, Tue, Wed, Thu, Fri (week(s): June 10, 2024-June 17, 2024, July 1, 2024) 13:00 - ORCH 3004, ORCH 3018, ORCH 3052, ORCH 4002, ORCH 4072", , , 
