Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2023-2024,ALRD,105,General,2024-07-08,10:00,12:30,LEC,LAW-V,LAW 507-S/LEC/001, ,001,"Gordon, Sara"
UBCV,2023-2024,ALRD,105,General,2024-07-15,10:00,12:30,LEC,LAW-V,LAW 507-S/LEC/001, ,001,"Gordon, Sara"
UBCV,2023-2024,ALRD,105,General,2024-07-08,13:30,17:30,LEC,LAW-V,LAW 508D-S/LEC/001, ,001,"Peihani, Maziar"
UBCV,2023-2024,ALRD,105,General,2024-07-15,13:30,17:30,LEC,LAW-V,LAW 508D-S/LEC/001, ,001,"Peihani, Maziar"
UBCV,2023-2024,ALRD,105,General,2024-07-09,9:00,12:30,LEC,LAW-V,LAW 505-S/LEC/001,LAW 505-S,001,"Danay, Robert"
UBCV,2023-2024,ALRD,105,General,2024-07-16,9:00,12:30,LEC,LAW-V,LAW 505-S/LEC/001,LAW 505-S,001,"Danay, Robert"
UBCV,2023-2024,ALRD,105,General,2024-07-09,14:00,17:00,LEC,LAW-V,LAW 505-S/LEC/001,LAW 505-S,001,"Danay, Robert"
UBCV,2023-2024,ALRD,105,General,2024-07-16,14:00,17:00,LEC,LAW-V,LAW 505-S/LEC/001,LAW 505-S,001,"Danay, Robert"
UBCV,2023-2024,ALRD,105,General,2024-07-10,10:00,12:30,LEC,LAW-V,LAW 507-S/LEC/001, ,001,"Gordon, Sara"
UBCV,2023-2024,ALRD,105,General,2024-07-17,10:00,12:30,LEC,LAW-V,LAW 507-S/LEC/001, ,001,"Gordon, Sara"
UBCV,2023-2024,ALRD,105,General,2024-07-10,13:30,17:30,LEC,LAW-V,LAW 508D-S/LEC/001, ,001,"Peihani, Maziar"
UBCV,2023-2024,ALRD,105,General,2024-07-17,13:30,17:30,LEC,LAW-V,LAW 508D-S/LEC/001, ,001,"Peihani, Maziar"
UBCV,2023-2024,ALRD,105,General,2024-07-11,9:00,12:30,LEC,LAW-V,LAW 505-S/LEC/001,LAW 505-S,001,"Danay, Robert"
