Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2023-2024,LASR,102,General,2024-07-22,9:00,16:30,WRB-ACTIVE,WRB_UBC,"ARTS JULY Mon, Tue, Wed, Thu, Fri (week(s): July 15, 2024-August 5, 2024) 9:00 - ANSO 203, ANSO 205, CHEM C126, IBLC 261, LASR 102, ORCH 1001, SWNG 208", , , 
UBCV,2023-2024,LASR,102,General,2024-07-29,9:00,16:30,WRB-ACTIVE,WRB_UBC,"ARTS JULY Mon, Tue, Wed, Thu, Fri (week(s): July 15, 2024-August 5, 2024) 9:00 - ANSO 203, ANSO 205, CHEM C126, IBLC 261, LASR 102, ORCH 1001, SWNG 208", , , 
UBCV,2023-2024,LASR,102,General,2024-07-22,18:30,20:00,L-L,ARCH-V,ARCH 577C-S/L-L/001, ,001,"Gaudin, Robert"
UBCV,2023-2024,LASR,102,General,2024-07-29,18:30,20:00,L-L,ARCH-V,ARCH 577C-S/L-L/001, ,001,"Gaudin, Robert"
UBCV,2023-2024,LASR,102,General,2024-07-23,9:00,16:30,WRB-ACTIVE,WRB_UBC,"ARTS JULY Mon, Tue, Wed, Thu, Fri (week(s): July 15, 2024-August 5, 2024) 9:00 - ANSO 203, ANSO 205, CHEM C126, IBLC 261, LASR 102, ORCH 1001, SWNG 208", , , 
UBCV,2023-2024,LASR,102,General,2024-07-30,9:00,16:30,WRB-ACTIVE,WRB_UBC,"ARTS JULY Mon, Tue, Wed, Thu, Fri (week(s): July 15, 2024-August 5, 2024) 9:00 - ANSO 203, ANSO 205, CHEM C126, IBLC 261, LASR 102, ORCH 1001, SWNG 208", , , 
UBCV,2023-2024,LASR,102,General,2024-07-23,18:00,20:30,L-L,ARCH-V,ARCH 577B-S/L-L/001, ,001,"Cloutier, Roy"
UBCV,2023-2024,LASR,102,General,2024-07-30,18:00,20:30,L-L,ARCH-V,ARCH 577B-S/L-L/001, ,001,"Cloutier, Roy"
UBCV,2023-2024,LASR,102,General,2024-07-24,9:00,16:30,WRB-ACTIVE,WRB_UBC,"ARTS JULY Mon, Tue, Wed, Thu, Fri (week(s): July 15, 2024-August 5, 2024) 9:00 - ANSO 203, ANSO 205, CHEM C126, IBLC 261, LASR 102, ORCH 1001, SWNG 208", , , 
UBCV,2023-2024,LASR,102,General,2024-07-31,9:00,16:30,WRB-ACTIVE,WRB_UBC,"ARTS JULY Mon, Tue, Wed, Thu, Fri (week(s): July 15, 2024-August 5, 2024) 9:00 - ANSO 203, ANSO 205, CHEM C126, IBLC 261, LASR 102, ORCH 1001, SWNG 208", , , 
UBCV,2023-2024,LASR,102,General,2024-07-24,18:30,20:00,L-L,ARCH-V,ARCH 577C-S/L-L/001, ,001,"Gaudin, Robert"
UBCV,2023-2024,LASR,102,General,2024-07-31,18:30,20:00,L-L,ARCH-V,ARCH 577C-S/L-L/001, ,001,"Gaudin, Robert"
UBCV,2023-2024,LASR,102,General,2024-07-25,9:00,16:30,WRB-ACTIVE,WRB_UBC,"ARTS JULY Mon, Tue, Wed, Thu, Fri (week(s): July 15, 2024-August 5, 2024) 9:00 - ANSO 203, ANSO 205, CHEM C126, IBLC 261, LASR 102, ORCH 1001, SWNG 208", , , 
UBCV,2023-2024,LASR,102,General,2024-08-01,9:00,16:30,WRB-ACTIVE,WRB_UBC,"ARTS JULY Mon, Tue, Wed, Thu, Fri (week(s): July 15, 2024-August 5, 2024) 9:00 - ANSO 203, ANSO 205, CHEM C126, IBLC 261, LASR 102, ORCH 1001, SWNG 208", , , 
UBCV,2023-2024,LASR,102,General,2024-07-25,18:00,20:30,L-L,ARCH-V,ARCH 577B-S/L-L/001, ,001,"Cloutier, Roy"
UBCV,2023-2024,LASR,102,General,2024-08-01,18:00,20:30,L-L,ARCH-V,ARCH 577B-S/L-L/001, ,001,"Cloutier, Roy"
UBCV,2023-2024,LASR,102,General,2024-07-26,9:00,16:30,WRB-ACTIVE,WRB_UBC,"ARTS JULY Mon, Tue, Wed, Thu, Fri (week(s): July 15, 2024-August 5, 2024) 9:00 - ANSO 203, ANSO 205, CHEM C126, IBLC 261, LASR 102, ORCH 1001, SWNG 208", , , 
UBCV,2023-2024,LASR,102,General,2024-08-02,9:00,16:30,WRB-ACTIVE,WRB_UBC,"ARTS JULY Mon, Tue, Wed, Thu, Fri (week(s): July 15, 2024-August 5, 2024) 9:00 - ANSO 203, ANSO 205, CHEM C126, IBLC 261, LASR 102, ORCH 1001, SWNG 208", , , 
UBCV,2023-2024,LASR,104,General,2024-07-22,9:00,12:00,WRB-ACTIVE,WRB_UBC,"FGL S2  Mon, Tue, Wed, Thu, Fri (week(s): July 15, 2024-July 22, 2024) 9:00 - ANGU 039, CHEM C124, FRDM 153, LASR 104", , , 
UBCV,2023-2024,LASR,104,General,2024-07-29,9:00,12:00,WRB-ACTIVE,WRB_UBC,"FGL Mon, Tue, Wed, Thu, Fri (week(s): July 29, 2024-August 5, 2024) 9:00 - LASR 104", , , 
UBCV,2023-2024,LASR,104,General,2024-07-22,14:00,16:00,LEC,ASIA-V,ASIA 325-S/LEC/951,ASIA 325-S,951,"Yeo, Su-Anne"
UBCV,2023-2024,LASR,104,General,2024-07-29,14:00,16:00,LEC,ASIA-V,ASIA 325-S/LEC/951,ASIA 325-S,951,"Yeo, Su-Anne"
UBCV,2023-2024,LASR,104,General,2024-07-23,9:00,12:00,WRB-ACTIVE,WRB_UBC,"FGL S2  Mon, Tue, Wed, Thu, Fri (week(s): July 15, 2024-July 22, 2024) 9:00 - ANGU 039, CHEM C124, FRDM 153, LASR 104", , , 
UBCV,2023-2024,LASR,104,General,2024-07-30,9:00,12:00,WRB-ACTIVE,WRB_UBC,"FGL Mon, Tue, Wed, Thu, Fri (week(s): July 29, 2024-August 5, 2024) 9:00 - LASR 104", , , 
UBCV,2023-2024,LASR,104,General,2024-07-23,13:00,17:00,LEC,ASIA-V,ASIA 355-S/LEC/951,ASIA 355-S,951,"Yang, Renren"
UBCV,2023-2024,LASR,104,General,2024-07-30,13:00,17:00,LEC,ASIA-V,ASIA 355-S/LEC/951,ASIA 355-S,951,"Yang, Renren"
UBCV,2023-2024,LASR,104,General,2024-07-24,9:00,12:00,WRB-ACTIVE,WRB_UBC,"FGL S2  Mon, Tue, Wed, Thu, Fri (week(s): July 15, 2024-July 22, 2024) 9:00 - ANGU 039, CHEM C124, FRDM 153, LASR 104", , , 
UBCV,2023-2024,LASR,104,General,2024-07-31,9:00,12:00,WRB-ACTIVE,WRB_UBC,"FGL Mon, Tue, Wed, Thu, Fri (week(s): July 29, 2024-August 5, 2024) 9:00 - LASR 104", , , 
UBCV,2023-2024,LASR,104,General,2024-07-24,14:00,16:00,LEC,ASIA-V,ASIA 325-S/LEC/951,ASIA 325-S,951,"Yeo, Su-Anne"
UBCV,2023-2024,LASR,104,General,2024-07-31,14:00,16:00,LEC,ASIA-V,ASIA 325-S/LEC/951,ASIA 325-S,951,"Yeo, Su-Anne"
