Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,TFPB,104,Restricted,2024-09-02,9:00,12:00,SEM,FIPR-V,FIPR_V 533A-W/SEM/001,FIPR_V 533A-W,001,"Drljaca, Igor"
UBCV,2024-2025,TFPB,104,Restricted,2024-09-02,13:00,14:00,STD,THTR-V,THTR_V 205A-W/STD/001,THTR_V 205A-W,001,"Rizzotti, Patrick"
UBCV,2024-2025,TFPB,104,Restricted,2024-09-02,14:00,17:00,STD,FIPR-V,FIPR_V 233A-W/STD/001,FIPR_V 233A-W,001,"Drljaca, Igor"
UBCV,2024-2025,TFPB,104,Restricted,2024-09-02,18:00,21:00,STD,FIPR-V,FIPR_V 339-W/STD/001,FIPR_V 339-W,001,"Spivak, Refael"
UBCV,2024-2025,TFPB,104,Restricted,2024-09-03,9:00,12:00,LEC,FIPR-V,FIPR_V 234-W/LEC/001,FIPR_V 234-W,001,"McGowan, Sharon"
UBCV,2024-2025,TFPB,104,Restricted,2024-09-03,17:00,22:00,STD,FIPR-V,FIPR_V 337-W/STD/001,FIPR_V 337-W,001,"Scott, Devan"
UBCV,2024-2025,TFPB,104,Restricted,2024-09-04,9:00,12:00,STD,FIPR-V,FIPR_V 433-W/STD/001,FIPR_V 433-W,001,"Walsh, Shannon"
UBCV,2024-2025,TFPB,104,Restricted,2024-09-04,18:00,21:00,LEC,FIPR-V,FIPR_V 434A-W/LEC/001,FIPR_V 434A-W,001,"McCall, Lael"
UBCV,2024-2025,TFPB,104,Restricted,2024-09-05,9:00,12:00,LEC,FIPR-V,FIPR_V 101-W/LEC/001/001,FIPR_V 101-W,001,"Scott, Devan"
UBCV,2024-2025,TFPB,104,Restricted,2024-09-05,14:00,17:00,STD,FIPR-V,FIPR_V 333-W/STD/001,FIPR_V 333-W,001,"Bourges, Antoine"
UBCV,2024-2025,TFPB,104,Restricted,2024-09-06,9:00,12:00,SEM,FIPR-V,FIPR_V 534A-W/SEM/001,FIPR_V 534A-W,001,"McGowan, Sharon"
UBCV,2024-2025,TFPB,2,Restricted,2024-09-02,9:00,12:00,STD,THTR-V,THTR_V 505-W/STD/002,THTR_V 505-W,002,"Rizzotti, Patrick"
UBCV,2024-2025,TFPB,2,Restricted,2024-09-02,15:00,17:00,LAB,THTR-V,THTR_V 205A-W/LAB/L01/L01,THTR_V 205A-W,L01, 
UBCV,2024-2025,TFPB,2,Restricted,2024-09-03,13:00,15:00,LAB,THTR-V,THTR_V 205A-W/LAB/L02/L02,THTR_V 205A-W,L02, 
UBCV,2024-2025,TFPB,2,Restricted,2024-09-04,9:00,12:00,STD,THTR-V,THTR_V 405-W/STD/002,THTR_V 405-W,002,"Rizzotti, Patrick"
UBCV,2024-2025,TFPB,2,Restricted,2024-09-04,14:00,16:00,SEM,THFL-V,THFL_V 402-W/SEM/001,THFL_V 402-W,001, 
UBCV,2024-2025,TFPB,2,Restricted,2024-09-05,11:00,13:00,LAB,THTR-V,THTR_V 205A-W/LAB/L03/L03,THTR_V 205A-W,L03, 
UBCV,2024-2025,TFPB,2,Restricted,2024-09-05,14:00,16:00,LAB,THTR-V,THTR_V 205A-W/LAB/L04/L04,THTR_V 205A-W,L04, 
UBCV,2024-2025,TFPB,2,Restricted,2024-09-06,14:00,17:00,STD,FIPR-V,FIPR_V 338-W/STD/001/001,FIPR_V 338-W,001, 
