Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,FORW,303,General,2024-09-02,10:00,11:00,LEC,CPEN-V,CPEN_V 281-W/LEC/102,CPEN_V 281-W,102,"Sanghara, Hartaj"
UBCV,2024-2025,FORW,303,General,2024-09-09,10:00,11:00,LEC,CPEN-V,CPEN_V 281-W/LEC/102,CPEN_V 281-W,102,"Sanghara, Hartaj"
UBCV,2024-2025,FORW,303,General,2024-09-02,11:00,12:00,LEC,MTRL-V,MTRL_V 361-W/LEC/101,MTRL_V 361-W,101,"Dixon, David"
UBCV,2024-2025,FORW,303,General,2024-09-09,11:00,12:00,LEC,MTRL-V,MTRL_V 361-W/LEC/101,MTRL_V 361-W,101,"Dixon, David"
UBCV,2024-2025,FORW,303,General,2024-09-02,12:00,13:00,LEC,ASIA-V,ASIA_V 429-W/LEC/011,ASIA_V 429-W,011,"Orihara, Minami"
UBCV,2024-2025,FORW,303,General,2024-09-09,12:00,13:00,LEC,ASIA-V,ASIA_V 429-W/LEC/011,ASIA_V 429-W,011,"Orihara, Minami"
UBCV,2024-2025,FORW,303,General,2024-09-02,14:00,16:00,LAB,CIVL-V,CIVL_V 311-W/LAB/L1A,CIVL_V 311-W,L1A,"Wijewickreme, Dharmapriya"
UBCV,2024-2025,FORW,303,General,2024-09-09,14:00,16:00,LAB,CIVL-V,CIVL_V 311-W/LAB/L1B,CIVL_V 311-W,L1B,"Wijewickreme, Dharmapriya"
UBCV,2024-2025,FORW,317,General,2024-09-03,7:30,17:00,WRB-ACTIVE,WRB_UBC,"Imagine Day 2024 03-Sep-2024 7:30 - FORW 303, FORW 317", , , 
UBCV,2024-2025,FORW,303,General,2024-09-03,7:30,17:00,WRB-ACTIVE,WRB_UBC,"Imagine Day 2024 03-Sep-2024 7:30 - FORW 303, FORW 317", , , 
UBCV,2024-2025,FORW,303,General,2024-09-03,9:30,11:00,LEC,MTRL-V,MTRL_V 494-W/LEC/101,MTRL_V 494-W,101,"Poursartip, Anoshiravan"
UBCV,2024-2025,FORW,303,General,2024-09-10,9:30,11:00,LEC,MTRL-V,MTRL_V 494-W/LEC/101,MTRL_V 494-W,101,"Poursartip, Anoshiravan"
UBCV,2024-2025,FORW,303,General,2024-09-03,11:00,12:00,LEC,MTRL-V,MTRL_V 363-W/LEC/101,MTRL_V 363-W,101,"Xia, Guangrui"
UBCV,2024-2025,FORW,303,General,2024-09-10,11:00,12:00,LEC,MTRL-V,MTRL_V 363-W/LEC/101,MTRL_V 363-W,101,"Xia, Guangrui"
UBCV,2024-2025,FORW,303,General,2024-09-03,12:00,13:00,LEC,MTRL-V,MTRL_V 320-W/101,MTRL_V 320-W,101,"Wong, Matthew"
UBCV,2024-2025,FORW,303,General,2024-09-10,12:00,13:00,LEC,MTRL-V,MTRL_V 320-W/101,MTRL_V 320-W,101,"Wong, Matthew"
UBCV,2024-2025,FORW,303,General,2024-09-03,13:00,14:00,LEC,IGEN-V,IGEN_V 330-W/LEC/001,IGEN_V 330-W,001,"Nakane, Jonathan"
UBCV,2024-2025,FORW,303,General,2024-09-10,13:00,14:00,LEC,IGEN-V,IGEN_V 330-W/LEC/001,IGEN_V 330-W,001,"Nakane, Jonathan"
UBCV,2024-2025,FORW,303,General,2024-09-03,14:00,17:00,LEC,UFOR-V,UFOR_V 300-W/LEC/101,UFOR_V 300-W,101,"Alcorn, Kali"
UBCV,2024-2025,FORW,303,General,2024-09-10,14:00,17:00,LEC,UFOR-V,UFOR_V 300-W/LEC/101,UFOR_V 300-W,101,"Alcorn, Kali"
UBCV,2024-2025,FORW,303,General,2024-09-04,10:00,11:00,LEC,CPEN-V,CPEN_V 281-W/LEC/102,CPEN_V 281-W,102,"Sanghara, Hartaj"
UBCV,2024-2025,FORW,303,General,2024-09-11,10:00,11:00,LEC,CPEN-V,CPEN_V 281-W/LEC/102,CPEN_V 281-W,102,"Sanghara, Hartaj"
UBCV,2024-2025,FORW,303,General,2024-09-04,11:00,12:00,LEC,MTRL-V,MTRL_V 361-W/LEC/101,MTRL_V 361-W,101,"Dixon, David"
UBCV,2024-2025,FORW,303,General,2024-09-11,11:00,12:00,LEC,MTRL-V,MTRL_V 361-W/LEC/101,MTRL_V 361-W,101,"Dixon, David"
UBCV,2024-2025,FORW,303,General,2024-09-04,12:00,13:00,LEC,ASIA-V,ASIA_V 429-W/LEC/011,ASIA_V 429-W,011,"Orihara, Minami"
UBCV,2024-2025,FORW,303,General,2024-09-11,12:00,13:00,LEC,ASIA-V,ASIA_V 429-W/LEC/011,ASIA_V 429-W,011,"Orihara, Minami"
UBCV,2024-2025,FORW,303,General,2024-09-04,13:00,15:00,LEC,CPEN-V,CPEN_V 512-W/LEC/2,CPEN_V 512-W,101,"Lemieux, Guy"
UBCV,2024-2025,FORW,303,General,2024-09-11,13:00,15:00,LEC,CPEN-V,CPEN_V 512-W/LEC/2,CPEN_V 512-W,101,"Lemieux, Guy"
UBCV,2024-2025,FORW,303,General,2024-09-04,15:30,17:30,DIS,MANU-V,MANU_V 380-W/T1A,MANU_V 380-W,T1A,"Hosseini, Abbas"
UBCV,2024-2025,FORW,303,General,2024-09-11,15:30,17:30,DIS,MANU-V,MANU_V 380-W/T1A,MANU_V 380-W,T1A,"Hosseini, Abbas"
UBCV,2024-2025,FORW,303,General,2024-09-05,9:30,11:00,LEC,MTRL-V,MTRL_V 494-W/LEC/101,MTRL_V 494-W,101,"Poursartip, Anoshiravan"
UBCV,2024-2025,FORW,303,General,2024-09-12,9:30,11:00,LEC,MTRL-V,MTRL_V 494-W/LEC/101,MTRL_V 494-W,101,"Poursartip, Anoshiravan"
UBCV,2024-2025,FORW,303,General,2024-09-05,11:00,12:00,LEC,MTRL-V,MTRL_V 363-W/LEC/101,MTRL_V 363-W,101,"Xia, Guangrui"
UBCV,2024-2025,FORW,303,General,2024-09-12,11:00,12:00,LEC,MTRL-V,MTRL_V 363-W/LEC/101,MTRL_V 363-W,101,"Xia, Guangrui"
UBCV,2024-2025,FORW,303,General,2024-09-05,14:00,17:00,LEC,DES-V,DES_V 211-W/002,DES_V 211-W,002,"Baechler, Riley"
UBCV,2024-2025,FORW,303,General,2024-09-12,14:00,17:00,LEC,DES-V,DES_V 211-W/002,DES_V 211-W,002,"Baechler, Riley"
UBCV,2024-2025,FORW,303,General,2024-09-06,10:00,11:00,LEC,CPEN-V,CPEN_V 281-W/LEC/102,CPEN_V 281-W,102,"Sanghara, Hartaj"
UBCV,2024-2025,FORW,303,General,2024-09-13,10:00,11:00,LEC,CPEN-V,CPEN_V 281-W/LEC/102,CPEN_V 281-W,102,"Sanghara, Hartaj"
UBCV,2024-2025,FORW,303,General,2024-09-06,11:00,12:00,LEC,MTRL-V,MTRL_V 361-W/LEC/101,MTRL_V 361-W,101,"Dixon, David"
UBCV,2024-2025,FORW,303,General,2024-09-13,11:00,12:00,LEC,MTRL-V,MTRL_V 361-W/LEC/101,MTRL_V 361-W,101,"Dixon, David"
UBCV,2024-2025,FORW,303,General,2024-09-06,12:00,13:00,LEC,ASIA-V,ASIA_V 429-W/LEC/011,ASIA_V 429-W,011,"Orihara, Minami"
UBCV,2024-2025,FORW,303,General,2024-09-13,12:00,13:00,LEC,ASIA-V,ASIA_V 429-W/LEC/011,ASIA_V 429-W,011,"Orihara, Minami"
UBCV,2024-2025,FORW,303,General,2024-09-06,13:00,14:30,LEC,CPEN-V,CPEN_V 512-W/LEC/1,CPEN_V 512-W,101,"Lemieux, Guy"
UBCV,2024-2025,FORW,303,General,2024-09-13,13:00,14:30,LEC,CPEN-V,CPEN_V 512-W/LEC/1,CPEN_V 512-W,101,"Lemieux, Guy"
UBCV,2024-2025,FORW,317,General,2024-09-02,10:30,12:00,LEC,CIVL-V,CIVL_V 440-W/LEC/101,CIVL_V 440-W,101,"Hassanpour Matikolaei, Seyed Amir Hossein"
UBCV,2024-2025,FORW,317,General,2024-09-09,10:30,12:00,LEC,CIVL-V,CIVL_V 440-W/LEC/101,CIVL_V 440-W,101,"Hassanpour Matikolaei, Seyed Amir Hossein"
UBCV,2024-2025,FORW,317,General,2024-09-02,12:30,14:00,LEC,MINE-V,MINE_V 402-W/LEC/001, ,101,"Ghoreishi-Madiseh, Seyed"
