Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,LIU,130,Restricted,2024-09-02,12:00,13:00,LAB,PPGA-V,PPGA_V 503-W/LAB/L01,PPGA_V 503-W,L01, 
UBCV,2024-2025,LIU,130,Restricted,2024-09-09,12:00,13:00,LAB,PPGA-V,PPGA_V 503-W/LAB/L01,PPGA_V 503-W,L01, 
UBCV,2024-2025,LIU,130,Restricted,2024-09-03,17:00,18:00,LAB,PPGA-V,PPGA_V 500A-W/LAB/L01,PPGA_V 500A-W,L01, 
UBCV,2024-2025,LIU,130,Restricted,2024-09-10,17:00,18:00,LAB,PPGA-V,PPGA_V 500A-W/LAB/L01,PPGA_V 500A-W,L01, 
UBCV,2024-2025,LIU,130,Restricted,2024-09-04,9:30,12:30,LEC,PPGA-V,PPGA_V 510-W/LEC/001,PPGA_V 510-W,001,"Huenefeld, Michael"
UBCV,2024-2025,LIU,130,Restricted,2024-09-11,9:30,12:30,LEC,PPGA-V,PPGA_V 510-W/LEC/001,PPGA_V 510-W,001,"Huenefeld, Michael"
UBCV,2024-2025,LIU,130,Restricted,2024-09-04,14:00,17:00,LEC,PPGA-V,PPGA_V 505-W/LEC/001,PPGA_V 505-W,001,"Margulis, Matias"
UBCV,2024-2025,LIU,130,Restricted,2024-09-11,14:00,17:00,LEC,PPGA-V,PPGA_V 505-W/LEC/001,PPGA_V 505-W,001,"Margulis, Matias"
UBCV,2024-2025,LIU,130,Restricted,2024-09-05,9:30,12:30,SEM,RES-V,RES_V 520-W, ,101,"Ramankutty, Navin"
UBCV,2024-2025,LIU,130,Restricted,2024-09-12,9:30,12:30,SEM,RES-V,RES_V 520-W, ,101,"Ramankutty, Navin"
UBCV,2024-2025,LIU,130,Restricted,2024-09-05,14:00,15:30,SEM,PPGA-V,PPGA_V 555A-W/SEM/001,PPGA_V 555A-W,001,"Cheek, Timothy"
UBCV,2024-2025,LIU,130,Restricted,2024-09-12,14:00,15:30,SEM,PPGA-V,PPGA_V 555A-W/SEM/001,PPGA_V 555A-W,001,"Cheek, Timothy"
UBCV,2024-2025,LIU,130,Restricted,2024-09-06,9:00,12:00,SEM,PPGA-V,PPGA_V 591X-W/SEM/001, ,001,"Tiberghien, Yves"
UBCV,2024-2025,LIU,130,Restricted,2024-09-13,9:00,12:00,SEM,PPGA-V,PPGA_V 591X-W/SEM/001, ,001,"Tiberghien, Yves"
UBCV,2024-2025,LIU,132,Restricted,2024-09-03,17:00,18:00,LAB,PPGA-V,PPGA_V 500A-W/LAB/L02,PPGA_V 500A-W,L02, 
UBCV,2024-2025,LIU,132,Restricted,2024-09-10,17:00,18:00,LAB,PPGA-V,PPGA_V 500A-W/LAB/L02,PPGA_V 500A-W,L02, 
