Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,CHAN,141,Restricted,2024-09-09,15:00,18:00,REC,MUSC-V,MUSC_V 550A-W/REC/004, ,004,"Girard, Jonathan"
UBCV,2024-2025,CHAN,141,Restricted,2024-09-16,15:00,18:00,REC,MUSC-V,MUSC_V 550A-W/REC/004, ,004,"Girard, Jonathan"
UBCV,2024-2025,CHAN,141,Restricted,2024-09-10,16:00,19:00,REC,MUSC-V,MUSC_V 150A-W/REC/004, ,004,"Girard, Jonathan"
UBCV,2024-2025,CHAN,141,Restricted,2024-09-17,16:00,19:00,REC,MUSC-V,MUSC_V 150A-W/REC/004, ,004,"Girard, Jonathan"
UBCV,2024-2025,CHAN,141,Restricted,2024-09-11,15:00,18:00,REC,MUSC-V,MUSC_V 550A-W/REC/004, ,004,"Girard, Jonathan"
UBCV,2024-2025,CHAN,141,Restricted,2024-09-18,15:00,18:00,REC,MUSC-V,MUSC_V 550A-W/REC/004, ,004,"Girard, Jonathan"
UBCV,2024-2025,CHAN,141,Restricted,2024-09-12,16:00,19:00,REC,MUSC-V,MUSC_V 150A-W/REC/004, ,004,"Girard, Jonathan"
UBCV,2024-2025,CHAN,141,Restricted,2024-09-19,16:00,19:00,REC,MUSC-V,MUSC_V 150A-W/REC/004, ,004,"Girard, Jonathan"
UBCV,2024-2025,CHAN,141,Restricted,2024-09-12,13:00,15:00,REC,MUSC-V,MUSC_V 153A-W/REC/002, ,001,"Langager, Graeme"
UBCV,2024-2025,CHAN,141,Restricted,2024-09-19,13:00,15:00,REC,MUSC-V,MUSC_V 153A-W/REC/002, ,001,"Langager, Graeme"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-09,9:30,13:00,LEC,CINE-V,CINE_V 300-W/LEC/001,CINE_V 300-W,001,"Mathijs, Ernest"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-16,9:30,13:00,LEC,CINE-V,CINE_V 300-W/LEC/001,CINE_V 300-W,001,"Mathijs, Ernest"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-09,13:00,14:00,LEC,THTR-V,THTR_V 210-W/LEC/001,THTR_V 210-W,001,"Marshall, Hallie"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-16,13:00,14:00,LEC,THTR-V,THTR_V 210-W/LEC/001,THTR_V 210-W,001,"Marshall, Hallie"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-09,14:00,17:30,LEC,CINE-V,CINE_V 100-W/LEC/004,CINE_V 100-W,004,"Santos, Alessandra"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-16,14:00,17:30,LEC,CINE-V,CINE_V 100-W/LEC/004,CINE_V 100-W,004,"Santos, Alessandra"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-09,18:00,20:30,SEM,CINE-V,CINE_V 334-W/SEM/001,CINE_V 334-W,001,"Wade, Harrison"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-16,18:00,20:30,SEM,CINE-V,CINE_V 334-W/SEM/001,CINE_V 334-W,001,"Wade, Harrison"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-10,8:30,9:30,LEC,MUSC-V,MUSC_V 128-W/LEC/001,MUSC_V 128-W,001,"Tenzer, Michael"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-17,8:30,9:30,LEC,MUSC-V,MUSC_V 128-W/LEC/001,MUSC_V 128-W,001,"Tenzer, Michael"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-10,10:00,13:00,LEC,THFL-V,THFL_V 226-W/LEC/001,THFL_V 226-W,001,"Zuo, Mila"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-17,10:00,13:00,LEC,THFL-V,THFL_V 226-W/LEC/001,THFL_V 226-W,001,"Zuo, Mila"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-10,13:00,16:30,LEC,CINE-V,CINE_V 200-W/LEC/002,CINE_V 200-W,002,"Brown, William"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-17,13:00,16:30,LEC,CINE-V,CINE_V 200-W/LEC/002,CINE_V 200-W,002,"Brown, William"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-11,13:00,14:00,LEC,THTR-V,THTR_V 210-W/LEC/001,THTR_V 210-W,001,"Marshall, Hallie"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-18,13:00,14:00,LEC,THTR-V,THTR_V 210-W/LEC/001,THTR_V 210-W,001,"Marshall, Hallie"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-11,9:30,11:00,SEM,CINE-V,CINE_V 340-W/SEM/001,CINE_V 340-W,001,"Mathijs, Ernest"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-18,9:30,11:00,SEM,CINE-V,CINE_V 340-W/SEM/001,CINE_V 340-W,001,"Mathijs, Ernest"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-11,14:00,17:30,LEC,CINE-V,CINE_V 100-W/LEC/001,CINE_V 100-W,001,"Berry, Gabrielle"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-18,14:00,17:30,LEC,CINE-V,CINE_V 100-W/LEC/001,CINE_V 100-W,001,"Berry, Gabrielle"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-13,12:00,13:00,LEC,CINE-V,CINE_V 300-W/LEC/001,CINE_V 300-W,001,"Mathijs, Ernest"
UBCV,2024-2025,CHAN,290,Restricted,2024-09-20,12:00,13:00,LEC,CINE-V,CINE_V 300-W/LEC/001,CINE_V 300-W,001,"Mathijs, Ernest"
