Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,PCE,1002,Restricted,2024-09-09,9:00,12:00,STD,VISA-V,VISA_V 390-W/STD/001,VISA_V 390-W,001,"Martinez, Guadalupe"
UBCV,2024-2025,PCE,1002,Restricted,2024-09-16,9:00,12:00,STD,VISA-V,VISA_V 390-W/STD/001,VISA_V 390-W,001,"Martinez, Guadalupe"
UBCV,2024-2025,PCE,1002,Restricted,2024-09-09,14:00,17:00,STD,VISA-V,VISA_V 250-W/STD/001,VISA_V 250-W,001,"Bordo, Rosamunde"
UBCV,2024-2025,PCE,1002,Restricted,2024-09-16,14:00,17:00,STD,VISA-V,VISA_V 250-W/STD/001,VISA_V 250-W,001,"Bordo, Rosamunde"
UBCV,2024-2025,PCE,2000,Restricted,2024-09-09,14:00,17:00,STD,VISA-V,VISA_V 250-W/STD/001,VISA_V 250-W,001,"Bordo, Rosamunde"
UBCV,2024-2025,PCE,2000,Restricted,2024-09-16,14:00,17:00,STD,VISA-V,VISA_V 250-W/STD/001,VISA_V 250-W,001,"Bordo, Rosamunde"
UBCV,2024-2025,PCE,1002,Restricted,2024-09-10,9:00,12:00,STD,VISA-V,VISA_V 401B-W/STD/001,VISA_V 401B-W,001,"Pina Baldoquin, Manuel"
UBCV,2024-2025,PCE,1002,Restricted,2024-09-17,9:00,12:00,STD,VISA-V,VISA_V 401B-W/STD/001,VISA_V 401B-W,001,"Pina Baldoquin, Manuel"
UBCV,2024-2025,PCE,1002,Restricted,2024-09-10,14:00,17:00,STD,VISA-V,VISA_V 401C-W/STD/001,VISA_V 401C-W,001,"D'Onofrio, Christine"
UBCV,2024-2025,PCE,1002,Restricted,2024-09-17,14:00,17:00,STD,VISA-V,VISA_V 401C-W/STD/001,VISA_V 401C-W,001,"D'Onofrio, Christine"
UBCV,2024-2025,PCE,1002,Restricted,2024-09-11,9:00,12:00,STD,VISA-V,VISA_V 340-W/STD/001,VISA_V 340-W,001,"Pina Baldoquin, Manuel"
UBCV,2024-2025,PCE,1002,Restricted,2024-09-18,9:00,12:00,STD,VISA-V,VISA_V 340-W/STD/001,VISA_V 340-W,001,"Pina Baldoquin, Manuel"
UBCV,2024-2025,PCE,1002,Restricted,2024-09-12,14:00,17:00,STD,VISA-V,VISA_V 401E-W/STD/001,VISA_V 401E-W,001,"James, Gareth"
UBCV,2024-2025,PCE,1002,Restricted,2024-09-19,14:00,17:00,STD,VISA-V,VISA_V 401E-W/STD/001,VISA_V 401E-W,001,"James, Gareth"
UBCV,2024-2025,PCE,1002,Restricted,2024-09-13,9:00,12:00,LEC,VISA-V,VISA_V 280-W/LEC/001,VISA_V 280-W,001,"Roy, Marina"
UBCV,2024-2025,PCE,1002,Restricted,2024-09-20,9:00,12:00,LEC,VISA-V,VISA_V 280-W/LEC/001,VISA_V 280-W,001,"Roy, Marina"
UBCV,2024-2025,PCE,2000,Restricted,2024-09-11,14:00,17:00,STD,VISA-V,VISA_V 250-W/STD/002,VISA_V 250-W,002,"Peacock, Kitt"
UBCV,2024-2025,PCE,2000,Restricted,2024-09-18,14:00,17:00,STD,VISA-V,VISA_V 250-W/STD/002,VISA_V 250-W,002,"Peacock, Kitt"
UBCV,2024-2025,PCE,3007,Restricted,2024-09-11,14:00,17:00,STD,VISA-V,VISA_V 250-W/STD/002,VISA_V 250-W,002,"Peacock, Kitt"
UBCV,2024-2025,PCE,3007,Restricted,2024-09-18,14:00,17:00,STD,VISA-V,VISA_V 250-W/STD/002,VISA_V 250-W,002,"Peacock, Kitt"
UBCV,2024-2025,PCE,2000,Restricted,2024-09-12,14:00,17:00,STD,VISA-V,VISA_V 350-W/STD/001,VISA_V 350-W,001,"Starling, Dan"
