Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,CHEM,B450,Restricted,2024-09-16,14:00,18:00,LAB,CHEM-V,CHEM_V 335-W/LAB/L1B,CHEM_V 335-W,L1B,"Kil, Richard"
UBCV,2024-2025,CHEM,B450,Restricted,2024-09-23,14:00,18:00,LAB,CHEM-V,CHEM_V 335-W/LAB/L1B,CHEM_V 335-W,L1B,"Kil, Richard"
UBCV,2024-2025,CHEM,C324,Restricted,2024-09-16,14:00,18:00,LAB,CHEM-V,CHEM_V 335-W/LAB/L1B,CHEM_V 335-W,L1B,"Terpstra, Andrea"
UBCV,2024-2025,CHEM,C324,Restricted,2024-09-23,14:00,18:00,LAB,CHEM-V,CHEM_V 335-W/LAB/L1B,CHEM_V 335-W,L1B,"Terpstra, Andrea"
UBCV,2024-2025,CHEM,C224,Restricted,2024-09-16,14:00,18:00,LAB,CHEM-V,CHEM_V 335-W/LAB/L1B,CHEM_V 335-W,L1B,"Bussiere, Guillaume"
UBCV,2024-2025,CHEM,C224,Restricted,2024-09-23,14:00,18:00,LAB,CHEM-V,CHEM_V 335-W/LAB/L1B,CHEM_V 335-W,L1B,"Bussiere, Guillaume"
UBCV,2024-2025,CHEM,B472,Restricted,2024-09-16,14:00,18:00,LAB,CHEM-V,CHEM_V 335-W/LAB/L1B,CHEM_V 335-W,L1B,"Rueda Becerril, Montserrat"
UBCV,2024-2025,CHEM,B472,Restricted,2024-09-23,14:00,18:00,LAB,CHEM-V,CHEM_V 335-W/LAB/L1B,CHEM_V 335-W,L1B,"Rueda Becerril, Montserrat"
UBCV,2024-2025,CHEM,B450,Restricted,2024-09-17,14:00,18:00,LAB,CHEM-V,CHEM_V 345-W/LAB/113,CHEM_V 345-W,113,"Kil, Richard"
UBCV,2024-2025,CHEM,B450,Restricted,2024-09-24,14:00,18:00,LAB,CHEM-V,CHEM_V 345-W/LAB/113,CHEM_V 345-W,113,"Kil, Richard"
UBCV,2024-2025,CHEM,C324,Restricted,2024-09-17,14:00,18:00,LAB,CHEM-V,CHEM_V 345-W/LAB/113,CHEM_V 345-W,113,"Terpstra, Andrea"
UBCV,2024-2025,CHEM,C324,Restricted,2024-09-24,14:00,18:00,LAB,CHEM-V,CHEM_V 345-W/LAB/113,CHEM_V 345-W,113,"Terpstra, Andrea"
UBCV,2024-2025,CHEM,C224,Restricted,2024-09-17,14:00,18:00,LAB,CHEM-V,CHEM_V 345-W/LAB/113,CHEM_V 345-W,113,"Bussiere, Guillaume"
UBCV,2024-2025,CHEM,C224,Restricted,2024-09-24,14:00,18:00,LAB,CHEM-V,CHEM_V 345-W/LAB/113,CHEM_V 345-W,113,"Bussiere, Guillaume"
UBCV,2024-2025,CHEM,B472,Restricted,2024-09-17,14:00,18:00,LAB,CHEM-V,CHEM_V 345-W/LAB/113,CHEM_V 345-W,113,"Rueda Becerril, Montserrat"
UBCV,2024-2025,CHEM,B472,Restricted,2024-09-24,14:00,18:00,LAB,CHEM-V,CHEM_V 345-W/LAB/113,CHEM_V 345-W,113,"Rueda Becerril, Montserrat"
UBCV,2024-2025,CHEM,B450,Restricted,2024-09-18,14:00,18:00,LAB,CHEM-V,CHEM_V 325-W/LAB/115,CHEM_V 325-W,115,"Kil, Richard"
UBCV,2024-2025,CHEM,B450,Restricted,2024-09-25,14:00,18:00,LAB,CHEM-V,CHEM_V 325-W/LAB/115,CHEM_V 325-W,115,"Kil, Richard"
UBCV,2024-2025,CHEM,C324,Restricted,2024-09-18,14:00,18:00,LAB,CHEM-V,CHEM_V 325-W/LAB/115,CHEM_V 325-W,115,"Terpstra, Andrea"
UBCV,2024-2025,CHEM,C324,Restricted,2024-09-25,14:00,18:00,LAB,CHEM-V,CHEM_V 325-W/LAB/115,CHEM_V 325-W,115,"Terpstra, Andrea"
UBCV,2024-2025,CHEM,C224,Restricted,2024-09-18,14:00,18:00,LAB,CHEM-V,CHEM_V 325-W/LAB/115,CHEM_V 325-W,115,"Bussiere, Guillaume"
UBCV,2024-2025,CHEM,C224,Restricted,2024-09-25,14:00,18:00,LAB,CHEM-V,CHEM_V 325-W/LAB/115,CHEM_V 325-W,115,"Bussiere, Guillaume"
UBCV,2024-2025,CHEM,B472,Restricted,2024-09-18,14:00,18:00,LAB,CHEM-V,CHEM_V 325-W/LAB/115,CHEM_V 325-W,115,"Rueda Becerril, Montserrat"
UBCV,2024-2025,CHEM,B472,Restricted,2024-09-25,14:00,18:00,LAB,CHEM-V,CHEM_V 325-W/LAB/115,CHEM_V 325-W,115,"Rueda Becerril, Montserrat"
UBCV,2024-2025,CHEM,B470,Restricted,2024-09-16,14:00,18:00,LAB,CHEM-V,CHEM_V 445A-W/LAB/135,CHEM_V 445A-W,135,"Terpstra, Andrea"
UBCV,2024-2025,CHEM,B470,Restricted,2024-09-23,14:00,18:00,LAB,CHEM-V,CHEM_V 445A-W/LAB/135,CHEM_V 445A-W,135,"Terpstra, Andrea"
UBCV,2024-2025,CHEM,B470,Restricted,2024-09-18,14:00,18:00,LAB,CHEM-V,CHEM_V 445A-W/LAB/135,CHEM_V 445A-W,135,"Terpstra, Andrea"
UBCV,2024-2025,CHEM,B470,Restricted,2024-09-25,14:00,18:00,LAB,CHEM-V,CHEM_V 445A-W/LAB/135,CHEM_V 445A-W,135,"Terpstra, Andrea"
UBCV,2024-2025,CHEM,B470,Restricted,2024-09-19,13:00,17:00,LAB,CHEM-V,CHEM_V 355-W/LAB/L17,CHEM_V 355-W,L17,"Rueda Becerril, Montserrat"
UBCV,2024-2025,CHEM,B470,Restricted,2024-09-26,13:00,17:00,LAB,CHEM-V,CHEM_V 355-W/LAB/L17,CHEM_V 355-W,L17,"Rueda Becerril, Montserrat"
UBCV,2024-2025,CHEM,C226,Restricted,2024-09-17,9:30,12:30,LAB,CHEM-V,CHEM_V 211-W/LAB/L12,CHEM_V 211-W,L12,"Addison, Christopher"
UBCV,2024-2025,CHEM,C226,Restricted,2024-09-24,9:30,12:30,LAB,CHEM-V,CHEM_V 211-W/LAB/L12,CHEM_V 211-W,L12,"Addison, Christopher"
UBCV,2024-2025,CHEM,C226,Restricted,2024-09-17,14:00,17:00,LAB,CHEM-V,CHEM_V 211-W/LAB/L13,CHEM_V 211-W,L13,"Addison, Christopher"
UBCV,2024-2025,CHEM,C226,Restricted,2024-09-24,14:00,17:00,LAB,CHEM-V,CHEM_V 211-W/LAB/L13,CHEM_V 211-W,L13,"Addison, Christopher"
UBCV,2024-2025,CHEM,C226,Restricted,2024-09-18,9:00,12:00,LAB,CHEM-V,CHEM_V 211-W/LAB/L14,CHEM_V 211-W,L14,"Addison, Christopher"
UBCV,2024-2025,CHEM,C226,Restricted,2024-09-25,9:00,12:00,LAB,CHEM-V,CHEM_V 211-W/LAB/L14,CHEM_V 211-W,L14,"Addison, Christopher"
UBCV,2024-2025,CHEM,C226,Restricted,2024-09-18,14:00,17:00,LAB,CHEM-V,CHEM_V 211-W/LAB/L15,CHEM_V 211-W,L15,"Addison, Christopher"
UBCV,2024-2025,CHEM,C226,Restricted,2024-09-25,14:00,17:00,LAB,CHEM-V,CHEM_V 211-W/LAB/L15,CHEM_V 211-W,L15,"Addison, Christopher"
UBCV,2024-2025,CHEM,C226,Restricted,2024-09-19,14:00,17:00,LAB,CHEM-V,CHEM_V 141-W/LAB/L17,CHEM_V 141-W,L17,"Rodriguez Nunez, Jose"
UBCV,2024-2025,CHEM,C226,Restricted,2024-09-26,14:00,17:00,LAB,CHEM-V,CHEM_V 141-W/LAB/L17,CHEM_V 141-W,L17,"Rodriguez Nunez, Jose"
UBCV,2024-2025,CHEM,C226,Restricted,2024-09-20,9:00,12:00,LAB,CHEM-V,CHEM_V 141-W/LAB/L18,CHEM_V 141-W,L18,"Rodriguez Nunez, Jose"
UBCV,2024-2025,CHEM,C226,Restricted,2024-09-27,9:00,12:00,LAB,CHEM-V,CHEM_V 141-W/LAB/L18,CHEM_V 141-W,L18,"Rodriguez Nunez, Jose"
UBCV,2024-2025,CHEM,C226,Restricted,2024-09-20,14:00,17:00,LAB,CHEM-V,CHEM_V 141-W/LAB/L19,CHEM_V 141-W,L19,"Rodriguez Nunez, Jose"
UBCV,2024-2025,CHEM,C226,Restricted,2024-09-27,14:00,17:00,LAB,CHEM-V,CHEM_V 141-W/LAB/L19,CHEM_V 141-W,L19,"Rodriguez Nunez, Jose"
UBCV,2024-2025,CHEM,C326,Restricted,2024-09-19,9:30,12:30,LAB,CHEM-V,CHEM_V 203-W/LAB/L06,CHEM_V 203-W,L06,"Johnson, Kayli"
UBCV,2024-2025,CHEM,C326,Restricted,2024-09-26,9:30,12:30,LAB,CHEM-V,CHEM_V 203-W/LAB/L06,CHEM_V 203-W,L06,"Johnson, Kayli"
UBCV,2024-2025,CHEM,C324,Restricted,2024-09-19,9:30,12:30,LAB,CHEM-V,CHEM_V 203-W/LAB/L06,CHEM_V 203-W,L06,"Johnson, Kayli"
UBCV,2024-2025,CHEM,C324,Restricted,2024-09-26,9:30,12:30,LAB,CHEM-V,CHEM_V 203-W/LAB/L06,CHEM_V 203-W,L06,"Johnson, Kayli"
UBCV,2024-2025,CHEM,C326,Restricted,2024-09-20,9:00,12:00,LAB,CHEM-V,CHEM_V 203-W/LAB/L08,CHEM_V 203-W,L08,"Johnson, Kayli"
UBCV,2024-2025,CHEM,C326,Restricted,2024-09-27,9:00,12:00,LAB,CHEM-V,CHEM_V 203-W/LAB/L08,CHEM_V 203-W,L08,"Johnson, Kayli"
UBCV,2024-2025,CHEM,C324,Restricted,2024-09-20,9:00,12:00,LAB,CHEM-V,CHEM_V 203-W/LAB/L08,CHEM_V 203-W,L08,"Johnson, Kayli"
UBCV,2024-2025,CHEM,C324,Restricted,2024-09-27,9:00,12:00,LAB,CHEM-V,CHEM_V 203-W/LAB/L08,CHEM_V 203-W,L08,"Johnson, Kayli"
UBCV,2024-2025,CHEM,C326,Restricted,2024-09-20,14:00,17:00,LAB,CHEM-V,CHEM_V 203-W/LAB/L09,CHEM_V 203-W,L09,"Johnson, Kayli"
UBCV,2024-2025,CHEM,C326,Restricted,2024-09-27,14:00,17:00,LAB,CHEM-V,CHEM_V 203-W/LAB/L09,CHEM_V 203-W,L09,"Johnson, Kayli"
UBCV,2024-2025,CHEM,C324,Restricted,2024-09-20,14:00,17:00,LAB,CHEM-V,CHEM_V 203-W/LAB/L09,CHEM_V 203-W,L09,"Johnson, Kayli"
UBCV,2024-2025,CHEM,C324,Restricted,2024-09-27,14:00,17:00,LAB,CHEM-V,CHEM_V 203-W/LAB/L09,CHEM_V 203-W,L09,"Johnson, Kayli"
UBCV,2024-2025,CHEM,C326,Restricted,2024-09-16,14:00,18:00,LAB,CHEM-V,CHEM_V 445A-W/LAB/115,CHEM_V 445A-W,115,"Terpstra, Andrea"
UBCV,2024-2025,CHEM,C326,Restricted,2024-09-23,14:00,18:00,LAB,CHEM-V,CHEM_V 445A-W/LAB/115,CHEM_V 445A-W,115,"Terpstra, Andrea"
UBCV,2024-2025,CHEM,C326,Restricted,2024-09-18,14:00,18:00,LAB,CHEM-V,CHEM_V 445A-W/LAB/115,CHEM_V 445A-W,115,"Terpstra, Andrea"
UBCV,2024-2025,CHEM,C326,Restricted,2024-09-25,14:00,18:00,LAB,CHEM-V,CHEM_V 445A-W/LAB/115,CHEM_V 445A-W,115,"Terpstra, Andrea"
UBCV,2024-2025,CHEM,C326,Restricted,2024-09-19,14:00,17:00,LAB,CHEM-V,CHEM_V 203-W/LAB/L07,CHEM_V 203-W,L07,"Johnson, Kayli"
UBCV,2024-2025,CHEM,C326,Restricted,2024-09-26,14:00,17:00,LAB,CHEM-V,CHEM_V 203-W/LAB/L07,CHEM_V 203-W,L07,"Johnson, Kayli"
UBCV,2024-2025,CHEM,C426,Restricted,2024-09-17,9:30,12:30,LAB,CHEM-V,CHEM_V 235-W/LAB/L12,CHEM_V 235-W,L12,"Chang, Justin"
UBCV,2024-2025,CHEM,C426,Restricted,2024-09-24,9:30,12:30,LAB,CHEM-V,CHEM_V 235-W/LAB/L12,CHEM_V 235-W,L12,"Chang, Justin"
UBCV,2024-2025,CHEM,C424,Restricted,2024-09-17,9:30,12:30,LAB,CHEM-V,CHEM_V 235-W/LAB/L12,CHEM_V 235-W,L12,"Chang, Justin"
UBCV,2024-2025,CHEM,C424,Restricted,2024-09-24,9:30,12:30,LAB,CHEM-V,CHEM_V 235-W/LAB/L12,CHEM_V 235-W,L12,"Chang, Justin"
UBCV,2024-2025,CHEM,C424,Restricted,2024-09-17,14:00,17:00,LAB,CHEM-V,CHEM_V 235-W/LAB/L13,CHEM_V 235-W,L13,"Chang, Justin"
UBCV,2024-2025,CHEM,C424,Restricted,2024-09-24,14:00,17:00,LAB,CHEM-V,CHEM_V 235-W/LAB/L13,CHEM_V 235-W,L13,"Chang, Justin"
UBCV,2024-2025,CHEM,C424,Restricted,2024-09-18,9:00,12:00,LAB,CHEM-V,CHEM_V 235-W/LAB/L14,CHEM_V 235-W,L14,"Chang, Justin"
UBCV,2024-2025,CHEM,C424,Restricted,2024-09-25,9:00,12:00,LAB,CHEM-V,CHEM_V 235-W/LAB/L14,CHEM_V 235-W,L14,"Chang, Justin"
UBCV,2024-2025,CHEM,C426,Restricted,2024-09-18,9:00,12:00,LAB,CHEM-V,CHEM_V 235-W/LAB/L14,CHEM_V 235-W,L14,"Chang, Justin"
UBCV,2024-2025,CHEM,C426,Restricted,2024-09-25,9:00,12:00,LAB,CHEM-V,CHEM_V 235-W/LAB/L14,CHEM_V 235-W,L14,"Chang, Justin"
UBCV,2024-2025,CHEM,C424,Restricted,2024-09-18,14:00,17:00,LAB,CHEM-V,CHEM_V 235-W/LAB/L15,CHEM_V 235-W,L15,"Chang, Justin"
UBCV,2024-2025,CHEM,C424,Restricted,2024-09-25,14:00,17:00,LAB,CHEM-V,CHEM_V 235-W/LAB/L15,CHEM_V 235-W,L15,"Chang, Justin"
UBCV,2024-2025,CHEM,C424,Restricted,2024-09-19,9:30,12:30,LAB,CHEM-V,CHEM_V 235-W/LAB/L16,CHEM_V 235-W,L16,"Chang, Justin"
UBCV,2024-2025,CHEM,C424,Restricted,2024-09-26,9:30,12:30,LAB,CHEM-V,CHEM_V 235-W/LAB/L16,CHEM_V 235-W,L16,"Chang, Justin"
UBCV,2024-2025,CHEM,C426,Restricted,2024-09-19,9:30,12:30,LAB,CHEM-V,CHEM_V 235-W/LAB/L16,CHEM_V 235-W,L16,"Chang, Justin"
UBCV,2024-2025,CHEM,C426,Restricted,2024-09-26,9:30,12:30,LAB,CHEM-V,CHEM_V 235-W/LAB/L16,CHEM_V 235-W,L16,"Chang, Justin"
UBCV,2024-2025,CHEM,C424,Restricted,2024-09-19,14:00,17:00,LAB,CHEM-V,CHEM_V 235-W/LAB/L17,CHEM_V 235-W,L17,"Chang, Justin"
UBCV,2024-2025,CHEM,C424,Restricted,2024-09-26,14:00,17:00,LAB,CHEM-V,CHEM_V 235-W/LAB/L17,CHEM_V 235-W,L17,"Chang, Justin"
UBCV,2024-2025,CHEM,C424,Restricted,2024-09-20,9:00,12:00,LAB,CHEM-V,CHEM_V 235-W/LAB/L18,CHEM_V 235-W,L18,"Chang, Justin"
UBCV,2024-2025,CHEM,C424,Restricted,2024-09-27,9:00,12:00,LAB,CHEM-V,CHEM_V 235-W/LAB/L18,CHEM_V 235-W,L18,"Chang, Justin"
UBCV,2024-2025,CHEM,C426,Restricted,2024-09-20,9:00,12:00,LAB,CHEM-V,CHEM_V 235-W/LAB/L18,CHEM_V 235-W,L18,"Chang, Justin"
UBCV,2024-2025,CHEM,C426,Restricted,2024-09-27,9:00,12:00,LAB,CHEM-V,CHEM_V 235-W/LAB/L18,CHEM_V 235-W,L18,"Chang, Justin"
UBCV,2024-2025,CHEM,C424,Restricted,2024-09-20,14:00,17:00,LAB,CHEM-V,CHEM_V 235-W/LAB/L19,CHEM_V 235-W,L19,"Chang, Justin"
