Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,ACEN,105,Restricted,2024-09-23,11:00,12:00,DIS,MUSC-V,MUSC_V 128-W/DIS/1,MUSC_V 128-W,D01,"Tenzer, Michael"
UBCV,2024-2025,ACEN,105,Restricted,2024-09-30,11:00,12:00,DIS,MUSC-V,MUSC_V 128-W/DIS/1,MUSC_V 128-W,D01,"Tenzer, Michael"
UBCV,2024-2025,ACEN,105,Restricted,2024-09-23,13:00,14:00,DIS,MUSC-V,MUSC_V 128-W/DIS/2,MUSC_V 128-W,D02,"Tenzer, Michael"
UBCV,2024-2025,ACEN,105,Restricted,2024-09-30,13:00,14:00,DIS,MUSC-V,MUSC_V 128-W/DIS/2,MUSC_V 128-W,D02,"Tenzer, Michael"
UBCV,2024-2025,ACEN,105,Restricted,2024-09-23,14:00,15:00,DIS,MUSC-V,MUSC_V 128-W/DIS/3,MUSC_V 128-W,D03,"Tenzer, Michael"
UBCV,2024-2025,ACEN,105,Restricted,2024-09-30,14:00,15:00,DIS,MUSC-V,MUSC_V 128-W/DIS/3,MUSC_V 128-W,D03,"Tenzer, Michael"
UBCV,2024-2025,ACEN,105,Restricted,2024-09-24,9:30,11:00,LEC,MUSC-V,MUSC_V 328E-W/LEC/1,MUSC_V 328E-W,001,"Gbolonyo, Justice"
UBCV,2024-2025,ACEN,105,Restricted,2024-10-01,9:30,11:00,LEC,MUSC-V,MUSC_V 328E-W/LEC/1,MUSC_V 328E-W,001,"Gbolonyo, Justice"
UBCV,2024-2025,ACEN,105,Restricted,2024-09-24,13:30,15:00,REC,MUSC-V,MUSC_V 466A-W/REC/1, ,001,"Wong, Gloria Ngar-Yan"
UBCV,2024-2025,ACEN,105,Restricted,2024-10-01,13:30,15:00,REC,MUSC-V,MUSC_V 466A-W/REC/1, ,001,"Wong, Gloria Ngar-Yan"
UBCV,2024-2025,ACEN,105,Restricted,2024-09-24,15:30,17:00,LEC,MUSC-V,MUSC_V 428D-W/LEC/1,MUSC_V 428D-W,001,"Winikoff, Jason"
UBCV,2024-2025,ACEN,105,Restricted,2024-10-01,15:30,17:00,LEC,MUSC-V,MUSC_V 428D-W/LEC/1,MUSC_V 428D-W,001,"Winikoff, Jason"
UBCV,2024-2025,ACEN,105,Restricted,2024-09-24,17:30,19:00,REC,MUSC-V,MUSC_V 466D-W/REC/1, ,001,"Gbolonyo, Justice"
UBCV,2024-2025,ACEN,105,Restricted,2024-10-01,17:30,19:00,REC,MUSC-V,MUSC_V 466D-W/REC/1, ,001,"Gbolonyo, Justice"
UBCV,2024-2025,ACEN,105,Restricted,2024-09-25,10:00,12:30,SEM,MUSC-V,MUSC_V 531B-W/SEM/001,MUSC_V 531B-W,001, 
UBCV,2024-2025,ACEN,105,Restricted,2024-10-02,10:00,12:30,SEM,MUSC-V,MUSC_V 531B-W/SEM/001,MUSC_V 531B-W,001, 
UBCV,2024-2025,ACEN,105,Restricted,2024-09-25,13:00,15:00,REC,MUSC-V,MUSC_V 466B-W/REC/1, ,001,"Swaryandana Ichi Oka, Putu"
UBCV,2024-2025,ACEN,105,Restricted,2024-10-02,13:00,15:00,REC,MUSC-V,MUSC_V 466B-W/REC/1, ,001,"Swaryandana Ichi Oka, Putu"
UBCV,2024-2025,ACEN,105,Restricted,2024-09-26,9:30,11:00,LEC,MUSC-V,MUSC_V 328E-W/LEC/1,MUSC_V 328E-W,001,"Gbolonyo, Justice"
UBCV,2024-2025,ACEN,105,Restricted,2024-10-03,9:30,11:00,LEC,MUSC-V,MUSC_V 328E-W/LEC/1,MUSC_V 328E-W,001,"Gbolonyo, Justice"
UBCV,2024-2025,ACEN,105,Restricted,2024-09-26,13:30,15:00,REC,MUSC-V,MUSC_V 466A-W/REC/1, ,001,"Wong, Gloria Ngar-Yan"
UBCV,2024-2025,ACEN,105,Restricted,2024-10-03,13:30,15:00,REC,MUSC-V,MUSC_V 466A-W/REC/1, ,001,"Wong, Gloria Ngar-Yan"
UBCV,2024-2025,ACEN,105,Restricted,2024-09-26,15:30,17:00,LEC,MUSC-V,MUSC_V 428D-W/LEC/1,MUSC_V 428D-W,001,"Winikoff, Jason"
UBCV,2024-2025,ACEN,105,Restricted,2024-10-03,15:30,17:00,LEC,MUSC-V,MUSC_V 428D-W/LEC/1,MUSC_V 428D-W,001,"Winikoff, Jason"
UBCV,2024-2025,ACEN,105,Restricted,2024-09-26,17:30,19:00,REC,MUSC-V,MUSC_V 466D-W/REC/1, ,001,"Gbolonyo, Justice"
UBCV,2024-2025,ACEN,105,Restricted,2024-10-03,17:30,19:00,REC,MUSC-V,MUSC_V 466D-W/REC/1, ,001,"Gbolonyo, Justice"
UBCV,2024-2025,ACEN,105,Restricted,2024-09-27,13:00,15:00,REC,MUSC-V,MUSC_V 466B-W/REC/1, ,001,"Swaryandana Ichi Oka, Putu"
UBCV,2024-2025,ACEN,105,Restricted,2024-10-04,13:00,15:00,REC,MUSC-V,MUSC_V 466B-W/REC/1, ,001,"Swaryandana Ichi Oka, Putu"
