Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,AERL,120,General,2024-09-23,8:00,9:00,LEC,CIVL-V,CIVL_V 303-W/LEC/101,CIVL_V 303-W,101,"Nazhat, Yahya"
UBCV,2024-2025,AERL,120,General,2024-09-30,8:00,9:00,LEC,CIVL-V,CIVL_V 303-W/LEC/101,CIVL_V 303-W,101,"Nazhat, Yahya"
UBCV,2024-2025,AERL,120,General,2024-09-23,9:00,10:00,LEC,CHBE-V,CHBE_V 456-W/LEC/101,CHBE_V 456-W,101,"Upham, David Chester"
UBCV,2024-2025,AERL,120,General,2024-09-30,9:00,10:00,LEC,CHBE-V,CHBE_V 456-W/LEC/101,CHBE_V 456-W,101,"Upham, David Chester"
UBCV,2024-2025,AERL,120,General,2024-09-23,10:00,11:00,LEC,CHBE-V,CHBE_V 483-W/LEC/101, , ,"Gyenge, Elod Lajos"
UBCV,2024-2025,AERL,120,General,2024-09-30,10:00,11:00,LEC,CHBE-V,CHBE_V 483-W/LEC/101, , ,"Gyenge, Elod Lajos"
UBCV,2024-2025,AERL,120,General,2024-09-23,11:00,12:30,LEC,DSCI-V,DSCI_V 523-W/LAB/002,DSCI_V 523-W,002,"George, Gittu"
UBCV,2024-2025,AERL,120,General,2024-09-30,11:00,12:30,LEC,DSCI-V,DSCI_V 523-W/LAB/002,DSCI_V 523-W,002,"George, Gittu"
UBCV,2024-2025,AERL,120,General,2024-09-23,13:00,14:00,LEC,CHBE-V,CHBE_V 352-W/LEC/101,CHBE_V 352-W,101,"Martinez, Mark"
UBCV,2024-2025,AERL,120,General,2024-09-30,13:00,14:00,LEC,CHBE-V,CHBE_V 352-W/LEC/101,CHBE_V 352-W,101,"Martinez, Mark"
UBCV,2024-2025,AERL,120,General,2024-09-23,14:00,16:00,DIS,CHBE-V,CHBE_V 352-W/DIS/T1A,CHBE_V 352-W,T1A,"Martinez, Mark"
UBCV,2024-2025,AERL,120,General,2024-09-23,16:00,17:00,LEC,MECH-V,MECH_V 360-W/LEC/101,MECH_V 360-W,101,"Schajer, Gary"
UBCV,2024-2025,AERL,120,General,2024-09-30,16:00,17:00,LEC,MECH-V,MECH_V 360-W/LEC/101,MECH_V 360-W,101,"Schajer, Gary"
UBCV,2024-2025,AERL,120,General,2024-09-24,8:00,9:00,LEC,BIOL-V,APBI_V 327-W/LEC/001, ,101,"Akhtar, Yasmin"
UBCV,2024-2025,AERL,120,General,2024-10-01,8:00,9:00,LEC,BIOL-V,APBI_V 327-W/LEC/001, ,101,"Akhtar, Yasmin"
UBCV,2024-2025,AERL,120,General,2024-09-24,9:30,11:00,LEC,EOSC-V,EOSC_V 474-W/LEC/101,EOSC_V 474-W,101,"Pawlowicz, Richard"
UBCV,2024-2025,AERL,120,General,2024-10-01,9:30,11:00,LEC,EOSC-V,EOSC_V 474-W/LEC/101,EOSC_V 474-W,101,"Pawlowicz, Richard"
UBCV,2024-2025,AERL,120,General,2024-09-24,11:00,12:30,LEC,DSCI-V,DSCI_V 523-W/LAB/001,DSCI_V 523-W,001,"Timbers, Tiffany"
UBCV,2024-2025,AERL,120,General,2024-10-01,11:00,12:30,LEC,DSCI-V,DSCI_V 523-W/LAB/001,DSCI_V 523-W,001,"Timbers, Tiffany"
UBCV,2024-2025,AERL,120,General,2024-09-24,13:00,14:00,DIS,ELEC-V,ELEC_V 204-W/DIS/T1A,ELEC_V 204-W,T1A,"Salfi, Joseph"
UBCV,2024-2025,AERL,120,General,2024-10-01,13:00,14:00,DIS,ELEC-V,ELEC_V 204-W/DIS/T1A,ELEC_V 204-W,T1A,"Salfi, Joseph"
UBCV,2024-2025,AERL,120,General,2024-09-24,14:00,16:00,WRB-ACTIVE,WRB_UBC,"24WT1 Tuesday (week(s): September 16, 2024-December 2, 2024) 14:00 - AERL 120", , , 
UBCV,2024-2025,AERL,120,General,2024-10-01,14:00,16:00,WRB-ACTIVE,WRB_UBC,"24WT1 Tuesday (week(s): September 16, 2024-December 2, 2024) 14:00 - AERL 120", , , 
UBCV,2024-2025,AERL,120,General,2024-09-24,16:00,17:00,LEC,ANTH-V,ANTH_V 100A-W/LEC/001,ANTH_V 100A-W,001,"Brake, Jad"
UBCV,2024-2025,AERL,120,General,2024-10-01,16:00,17:00,LEC,ANTH-V,ANTH_V 100A-W/LEC/001,ANTH_V 100A-W,001,"Brake, Jad"
UBCV,2024-2025,AERL,120,General,2024-09-25,8:00,9:00,LEC,CIVL-V,CIVL_V 303-W/LEC/101,CIVL_V 303-W,101,"Nazhat, Yahya"
UBCV,2024-2025,AERL,120,General,2024-10-02,8:00,9:00,LEC,CIVL-V,CIVL_V 303-W/LEC/101,CIVL_V 303-W,101,"Nazhat, Yahya"
UBCV,2024-2025,AERL,120,General,2024-09-25,9:00,10:00,LEC,CHBE-V,CHBE_V 456-W/LEC/101,CHBE_V 456-W,101,"Upham, David Chester"
