Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,AUDX,142,General,2024-09-23,10:00,11:00,LEC,MATH-V,MATH_V 529-W/LEC/101,MATH_V 529-W,101,"Picard, Sebastien"
UBCV,2024-2025,AUDX,142,General,2024-09-30,10:00,11:00,LEC,MATH-V,MATH_V 529-W/LEC/101,MATH_V 529-W,101,"Picard, Sebastien"
UBCV,2024-2025,AUDX,142,General,2024-09-23,13:00,14:00,LEC,MATH-V,MATH_V 532-W/LEC/101,MATH_V 532-W,101,"Behrend, Kai"
UBCV,2024-2025,AUDX,142,General,2024-09-30,13:00,14:00,LEC,MATH-V,MATH_V 532-W/LEC/101,MATH_V 532-W,101,"Behrend, Kai"
UBCV,2024-2025,AUDX,142,General,2024-09-24,12:00,14:00,WRB-ACTIVE,WRB_UBC,"Office Hours Tuesday (week(s): September 16, 2024-December 2, 2024) 12:00 - AUDX 142", , , 
UBCV,2024-2025,AUDX,142,General,2024-10-01,12:00,14:00,WRB-ACTIVE,WRB_UBC,"Office Hours Tuesday (week(s): September 16, 2024-December 2, 2024) 12:00 - AUDX 142", , , 
UBCV,2024-2025,AUDX,142,General,2024-09-25,10:00,11:00,LEC,MATH-V,MATH_V 529-W/LEC/101,MATH_V 529-W,101,"Picard, Sebastien"
UBCV,2024-2025,AUDX,142,General,2024-10-02,10:00,11:00,LEC,MATH-V,MATH_V 529-W/LEC/101,MATH_V 529-W,101,"Picard, Sebastien"
UBCV,2024-2025,AUDX,142,General,2024-09-25,13:00,14:00,LEC,MATH-V,MATH_V 532-W/LEC/101,MATH_V 532-W,101,"Behrend, Kai"
UBCV,2024-2025,AUDX,142,General,2024-10-02,13:00,14:00,LEC,MATH-V,MATH_V 532-W/LEC/101,MATH_V 532-W,101,"Behrend, Kai"
UBCV,2024-2025,AUDX,142,General,2024-09-25,14:00,15:00,DIS,ARTH-V,ARTH_V 380-W/DIS/L01,ARTH_V 380-W,L01, 
UBCV,2024-2025,AUDX,142,General,2024-10-02,14:00,15:00,DIS,ARTH-V,ARTH_V 380-W/DIS/L01,ARTH_V 380-W,L01, 
UBCV,2024-2025,AUDX,142,General,2024-09-25,15:00,16:00,DIS,ARTH-V,ARTH_V 380-W/DIS/L02,ARTH_V 380-W,L02, 
UBCV,2024-2025,AUDX,142,General,2024-10-02,15:00,16:00,DIS,ARTH-V,ARTH_V 380-W/DIS/L02,ARTH_V 380-W,L02, 
UBCV,2024-2025,AUDX,142,General,2024-09-26,11:00,13:00,WRB-ACTIVE, ,"BMEG 457 S0A Studio Thursday (week(s): September 9, 2024-December 2, 2024) 11:00 - AUDX 142, BUCH D315, IRC B75, MCLD 3008, MCML 358, ORCH 3016, ORCH 4052, ORCH 4072, SPPH B112, SPPH B138", , , 
UBCV,2024-2025,AUDX,142,General,2024-10-03,11:00,13:00,WRB-ACTIVE, ,"BMEG 457 S0A Studio Thursday (week(s): September 9, 2024-December 2, 2024) 11:00 - AUDX 142, BUCH D315, IRC B75, MCLD 3008, MCML 358, ORCH 3016, ORCH 4052, ORCH 4072, SPPH B112, SPPH B138", , , 
UBCV,2024-2025,AUDX,142,General,2024-09-26,14:00,16:00,WRK,CRWR-V,CRWR_V 509T-W/WRK/001,CRWR_V 509T-W,001,"Maillard, Keith"
UBCV,2024-2025,AUDX,142,General,2024-10-03,14:00,16:00,WRK,CRWR-V,CRWR_V 509T-W/WRK/001,CRWR_V 509T-W,001,"Maillard, Keith"
UBCV,2024-2025,AUDX,142,General,2024-09-27,10:00,11:00,LEC,MATH-V,MATH_V 529-W/LEC/101,MATH_V 529-W,101,"Picard, Sebastien"
UBCV,2024-2025,AUDX,142,General,2024-10-04,10:00,11:00,LEC,MATH-V,MATH_V 529-W/LEC/101,MATH_V 529-W,101,"Picard, Sebastien"
UBCV,2024-2025,AUDX,142,General,2024-09-27,13:00,14:00,LEC,MATH-V,MATH_V 532-W/LEC/101,MATH_V 532-W,101,"Behrend, Kai"
UBCV,2024-2025,AUDX,142,General,2024-10-04,13:00,14:00,LEC,MATH-V,MATH_V 532-W/LEC/101,MATH_V 532-W,101,"Behrend, Kai"
UBCV,2024-2025,AUDX,157,General,2024-09-26,9:30,12:30,SEM,EDUC-V,EDUC_V 450B-W/SEM/S18,EDUC_V 450B-W,S18,"Dulay, Andrea"
UBCV,2024-2025,AUDX,157,General,2024-10-03,9:30,12:30,SEM,EDUC-V,EDUC_V 450B-W/SEM/S18,EDUC_V 450B-W,S18,"Dulay, Andrea"
UBCV,2024-2025,AUDX,157,General,2024-09-26,15:00,17:00,WRB-ACTIVE,WRB_UBC,"CLMC & CJMC Thursday (week(s): September 9, 2024-December 2, 2024) 15:00 - AUDX 157", , , 
UBCV,2024-2025,AUDX,157,General,2024-10-03,15:00,17:00,WRB-ACTIVE,WRB_UBC,"CLMC & CJMC Thursday (week(s): September 9, 2024-December 2, 2024) 15:00 - AUDX 157", , , 
