Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,FNH,30,General,2024-10-21,10:00,11:00,DIS,BIOL-V,BIOL_V 112-W/DIS/T01,BIOL_V 112-W,T01, 
UBCV,2024-2025,FNH,30,General,2024-10-28,10:00,11:00,DIS,BIOL-V,BIOL_V 112-W/DIS/T01,BIOL_V 112-W,T01, 
UBCV,2024-2025,FNH,30,General,2024-10-21,11:00,12:00,DIS,BIOL-V,BIOL_V 112-W/DIS/T02,BIOL_V 112-W,T02, 
UBCV,2024-2025,FNH,30,General,2024-10-28,11:00,12:00,DIS,BIOL-V,BIOL_V 112-W/DIS/T02,BIOL_V 112-W,T02, 
UBCV,2024-2025,FNH,30,General,2024-10-21,12:00,14:00,WRB-ACTIVE,WRB_UBC,EECE 568 Revision 21-Oct-2024 12:00 - FNH 30, , , 
UBCV,2024-2025,FNH,30,General,2024-10-21,17:00,18:00,DIS,BIOL-V,BIOL_V 112-W/DIS/T04,BIOL_V 112-W,T04, 
UBCV,2024-2025,FNH,30,General,2024-10-28,17:00,18:00,DIS,BIOL-V,BIOL_V 112-W/DIS/T04,BIOL_V 112-W,T04, 
UBCV,2024-2025,FNH,30,General,2024-10-21,18:00,19:00,DIS,BIOL-V,BIOL_V 112-W/DIS/T05,BIOL_V 112-W,T05, 
UBCV,2024-2025,FNH,30,General,2024-10-28,18:00,19:00,DIS,BIOL-V,BIOL_V 112-W/DIS/T05,BIOL_V 112-W,T05, 
UBCV,2024-2025,FNH,30,General,2024-10-22,9:00,10:00,DIS,BIOL-V,BIOL_V 112-W/DIS/T06,BIOL_V 112-W,T06, 
UBCV,2024-2025,FNH,30,General,2024-10-29,9:00,10:00,DIS,BIOL-V,BIOL_V 112-W/DIS/T06,BIOL_V 112-W,T06, 
UBCV,2024-2025,FNH,30,General,2024-10-22,11:00,12:00,DIS,BIOL-V,BIOL_V 112-W/DIS/T07,BIOL_V 112-W,T07, 
UBCV,2024-2025,FNH,30,General,2024-10-29,11:00,12:00,DIS,BIOL-V,BIOL_V 112-W/DIS/T07,BIOL_V 112-W,T07, 
UBCV,2024-2025,FNH,30,General,2024-10-22,13:00,14:00,DIS,BIOL-V,BIOL_V 112-W/DIS/T08,BIOL_V 112-W,T08, 
UBCV,2024-2025,FNH,30,General,2024-10-29,13:00,14:00,DIS,BIOL-V,BIOL_V 112-W/DIS/T08,BIOL_V 112-W,T08, 
UBCV,2024-2025,FNH,30,General,2024-10-22,14:00,15:30,DIS,MECH-V,MECH_V 325-W/DIS/T1B,MECH_V 325-W,T1B,"Mikkelsen, Jon"
UBCV,2024-2025,FNH,30,General,2024-10-29,14:00,15:30,DIS,MECH-V,MECH_V 325-W/DIS/T1B,MECH_V 325-W,T1B,"Mikkelsen, Jon"
UBCV,2024-2025,FNH,30,General,2024-10-22,15:30,17:00,DIS,MECH-V,MECH_V 325-W/DIS/T1E,MECH_V 325-W,T1E,"Mikkelsen, Jon"
UBCV,2024-2025,FNH,30,General,2024-10-29,15:30,17:00,DIS,MECH-V,MECH_V 325-W/DIS/T1E,MECH_V 325-W,T1E,"Mikkelsen, Jon"
UBCV,2024-2025,FNH,30,General,2024-10-22,17:00,18:00,DIS,BIOL-V,BIOL_V 112-W/DIS/T09,BIOL_V 112-W,T09, 
UBCV,2024-2025,FNH,30,General,2024-10-29,17:00,18:00,DIS,BIOL-V,BIOL_V 112-W/DIS/T09,BIOL_V 112-W,T09, 
UBCV,2024-2025,FNH,30,General,2024-10-22,18:30,19:30,DIS,BIOL-V,BIOL_V 112-W/DIS/T10,BIOL_V 112-W,T10, 
UBCV,2024-2025,FNH,30,General,2024-10-29,18:30,19:30,DIS,BIOL-V,BIOL_V 112-W/DIS/T10,BIOL_V 112-W,T10, 
UBCV,2024-2025,FNH,30,General,2024-10-23,10:00,11:00,DIS,BIOL-V,BIOL_V 112-W/DIS/T11,BIOL_V 112-W,T11, 
UBCV,2024-2025,FNH,30,General,2024-10-30,10:00,11:00,DIS,BIOL-V,BIOL_V 112-W/DIS/T11,BIOL_V 112-W,T11, 
