Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,FRWO,102,Restricted,2024-10-21,10:00,11:00,LEC,THTR-V,THTR_V 120-W/LEC/001,THTR_V 120-W,001,"Richards, Kimberly"
UBCV,2024-2025,FRWO,102,Restricted,2024-10-28,10:00,11:00,LEC,THTR-V,THTR_V 120-W/LEC/001,THTR_V 120-W,001,"Richards, Kimberly"
UBCV,2024-2025,FRWO,102,Restricted,2024-10-21,14:00,17:00,STD,FIPR-V,FIPR_V 133-W/001,FIPR_V 133-W,001,"Johnson, Jessica"
UBCV,2024-2025,FRWO,102,Restricted,2024-10-28,14:00,17:00,STD,FIPR-V,FIPR_V 133-W/001,FIPR_V 133-W,001,"Johnson, Jessica"
UBCV,2024-2025,FRWO,102,Restricted,2024-10-22,12:30,14:00,LEC,THTR-V,THTR_V 150A-W/LEC/001,THTR_V 150A-W,001,"Dotson, Emily"
UBCV,2024-2025,FRWO,102,Restricted,2024-10-29,12:30,14:00,LEC,THTR-V,THTR_V 150A-W/LEC/001,THTR_V 150A-W,001,"Dotson, Emily"
UBCV,2024-2025,FRWO,102,Restricted,2024-10-23,10:00,11:00,LEC,THTR-V,THTR_V 120-W/LEC/001,THTR_V 120-W,001,"Richards, Kimberly"
UBCV,2024-2025,FRWO,102,Restricted,2024-10-30,10:00,11:00,LEC,THTR-V,THTR_V 120-W/LEC/001,THTR_V 120-W,001,"Richards, Kimberly"
UBCV,2024-2025,FRWO,102,Restricted,2024-10-24,12:30,14:00,LEC,THTR-V,THTR_V 150A-W/LEC/001,THTR_V 150A-W,001,"Dotson, Emily"
UBCV,2024-2025,FRWO,102,Restricted,2024-10-31,12:30,14:00,LEC,THTR-V,THTR_V 150A-W/LEC/001,THTR_V 150A-W,001,"Dotson, Emily"
UBCV,2024-2025,FRWO,102,Restricted,2024-10-24,9:30,12:30,LEC,FIPR-V,FIPR_V 230-W/LEC/001,FIPR_V 230-W,001,"Bourges, Antoine"
UBCV,2024-2025,FRWO,102,Restricted,2024-10-31,9:30,12:30,LEC,FIPR-V,FIPR_V 230-W/LEC/001,FIPR_V 230-W,001,"Bourges, Antoine"
UBCV,2024-2025,FRWO,112,Restricted,2024-10-22,9:00,12:00,STD,THTR-V,THTR_V 306-W/STD/001,THTR_V 306-W,001,"Firkins, Jacqueline"
UBCV,2024-2025,FRWO,112,Restricted,2024-10-29,9:00,12:00,STD,THTR-V,THTR_V 306-W/STD/001,THTR_V 306-W,001,"Firkins, Jacqueline"
UBCV,2024-2025,FRWO,112,Restricted,2024-10-24,9:30,11:00,LEC,THTR-V,THTR_V 250-W/LEC/001, ,001, 
UBCV,2024-2025,FRWO,112,Restricted,2024-10-31,9:30,11:00,LEC,THTR-V,THTR_V 250-W/LEC/001, ,001, 
UBCV,2024-2025,FRWO,112,Restricted,2024-10-25,9:00,12:00,LEC,THTR-V,THTR_V 354-W/LEC/001,THTR_V 354-W,001,"Miyagishima, Susan"
UBCV,2024-2025,FRWO,112,Restricted,2024-11-01,9:00,12:00,LEC,THTR-V,THTR_V 354-W/LEC/001,THTR_V 354-W,001,"Miyagishima, Susan"
UBCV,2024-2025,FRWO,112,Restricted,2024-10-25,12:00,13:00,LEC,THTR-V,THTR_V 150B-W/LEC/001,THTR_V 150B-W,001,"Powers, Bradley"
UBCV,2024-2025,FRWO,112,Restricted,2024-11-01,12:00,13:00,LEC,THTR-V,THTR_V 150B-W/LEC/001,THTR_V 150B-W,001,"Powers, Bradley"
UBCV,2024-2025,FRWO,125,Restricted,2024-10-25,9:00,12:00,LEC,THTR-V,THTR_V 250-W/LEC/001,THTR_V 250-W,001,"Molgat Laurin, Madeleine"
UBCV,2024-2025,FRWO,125,Restricted,2024-11-01,9:00,12:00,LEC,THTR-V,THTR_V 250-W/LEC/001,THTR_V 250-W,001,"Molgat Laurin, Madeleine"
UBCV,2024-2025,FRWO,125,Restricted,2024-10-25,13:00,16:00,LEC,THTR-V,THTR_V 250-W/LEC/002,THTR_V 250-W,002,"Molgat Laurin, Madeleine"
UBCV,2024-2025,FRWO,125,Restricted,2024-11-01,13:00,16:00,LEC,THTR-V,THTR_V 250-W/LEC/002,THTR_V 250-W,002,"Molgat Laurin, Madeleine"
UBCV,2024-2025,FRWO,25,Restricted,2024-10-24,9:00,12:00,STD,THTR-V,THTR_V 356-W/STD/001,THTR_V 356-W,001,"Firkins, Jacqueline"
UBCV,2024-2025,FRWO,25,Restricted,2024-10-31,9:00,12:00,STD,THTR-V,THTR_V 356-W/STD/001,THTR_V 356-W,001,"Firkins, Jacqueline"
UBCV,2024-2025,FRWO,25,Restricted,2024-10-24,13:00,16:00,STD,THTR-V,THTR_V 456-W/STD/001,THTR_V 456-W,001,"Firkins, Jacqueline"
UBCV,2024-2025,FRWO,25,Restricted,2024-10-31,13:00,16:00,STD,THTR-V,THTR_V 456-W/STD/001,THTR_V 456-W,001,"Firkins, Jacqueline"
