Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,CEML,139,Restricted,2024-10-28,14:00,16:00,LAB,CIVL-V,CIVL_V 315-W/LAB/L1A,CIVL_V 315-W,L1A,"Yonemitsu, Noboru"
UBCV,2024-2025,CEML,139,Restricted,2024-11-04,14:00,16:00,LAB,CIVL-V,CIVL_V 315-W/LAB/L1B,CIVL_V 315-W,L1B,"Yonemitsu, Noboru"
UBCV,2024-2025,CEML,139,Restricted,2024-10-28,16:00,18:00,LAB,CIVL-V,CIVL_V 315-W/LAB/L1C,CIVL_V 315-W,L1C,"Yonemitsu, Noboru"
UBCV,2024-2025,CEML,139,Restricted,2024-11-04,16:00,18:00,LAB,CIVL-V,CIVL_V 315-W/LAB/L1D,CIVL_V 315-W,L1D,"Yonemitsu, Noboru"
UBCV,2024-2025,CEML,139,Restricted,2024-10-29,14:00,16:00,LAB,CIVL-V,CIVL_V 315-W/LAB/L1E,CIVL_V 315-W,L1E,"Yonemitsu, Noboru"
UBCV,2024-2025,CEML,139,Restricted,2024-11-05,14:00,16:00,LAB,CIVL-V,CIVL_V 315-W/LAB/L1F,CIVL_V 315-W,L1F,"Yonemitsu, Noboru"
UBCV,2024-2025,CEML,139,Restricted,2024-10-29,16:00,18:00,LAB,CIVL-V,CIVL_V 315-W/LAB/L1G,CIVL_V 315-W,L1G,"Yonemitsu, Noboru"
UBCV,2024-2025,CEML,139,Restricted,2024-11-05,16:00,18:00,LAB,CIVL-V,CIVL_V 315-W/LAB/L1H,CIVL_V 315-W,L1H,"Yonemitsu, Noboru"
UBCV,2024-2025,CEML,139,Restricted,2024-10-30,14:00,16:00,LAB,CIVL-V,CIVL_V 315-W/LAB/L1I,CIVL_V 315-W,L1I,"Yonemitsu, Noboru"
UBCV,2024-2025,CEML,139,Restricted,2024-11-06,14:00,16:00,LAB,CIVL-V,CIVL_V 315-W/LAB/L1J,CIVL_V 315-W,L1J,"Yonemitsu, Noboru"
UBCV,2024-2025,CEML,139,Restricted,2024-10-30,16:00,18:00,LAB,CIVL-V,CIVL_V 315-W/LAB/L1K,CIVL_V 315-W,L1K,"Yonemitsu, Noboru"
UBCV,2024-2025,CEML,139,Restricted,2024-11-06,16:00,18:00,LAB,CIVL-V,CIVL_V 315-W/LAB/L1L,CIVL_V 315-W,L1L,"Yonemitsu, Noboru"
UBCV,2024-2025,CEML,139,Restricted,2024-10-31,14:00,16:00,LAB,CIVL-V,CIVL_V 315-W/LAB/L1M,CIVL_V 315-W,L1M,"Yonemitsu, Noboru"
UBCV,2024-2025,CEML,139,Restricted,2024-11-07,14:00,16:00,LAB,CIVL-V,CIVL_V 315-W/LAB/L1N,CIVL_V 315-W,L1N,"Yonemitsu, Noboru"
UBCV,2024-2025,CEML,139,Restricted,2024-10-31,16:00,18:00,LAB,CIVL-V,CIVL_V 315-W/LAB/L1O,CIVL_V 315-W,L1O,"Yonemitsu, Noboru"
UBCV,2024-2025,CEML,139,Restricted,2024-11-07,16:00,18:00,LAB,CIVL-V,CIVL_V 315-W/LAB/L1P,CIVL_V 315-W,L1P,"Yonemitsu, Noboru"
