Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,TFS,121,Restricted,2024-10-29,14:00,15:30,SEM,LING-V,LING_V 518A-W/SEM/1,LING_V 518A-W,001,"Soskuthy, Marton"
UBCV,2024-2025,TFS,121,Restricted,2024-11-05,14:00,15:30,SEM,LING-V,LING_V 518A-W/SEM/1,LING_V 518A-W,001,"Soskuthy, Marton"
UBCV,2024-2025,TFS,121,Restricted,2024-10-29,15:30,17:00,SEM,LING-V,LING_V 527-W/SEM/001,LING_V 527-W,001,"Rullmann, Hotze"
UBCV,2024-2025,TFS,121,Restricted,2024-11-05,15:30,17:00,SEM,LING-V,LING_V 527-W/SEM/001,LING_V 527-W,001,"Rullmann, Hotze"
UBCV,2024-2025,TFS,121,Restricted,2024-10-30,15:00,18:00,LEC,LING-V,LING_V 531-W/SEM/001, ,001,"Hammerly, Christopher"
UBCV,2024-2025,TFS,121,Restricted,2024-11-06,15:00,18:00,LEC,LING-V,LING_V 531-W/SEM/001, ,001,"Hammerly, Christopher"
UBCV,2024-2025,TFS,121,Restricted,2024-10-31,14:00,15:30,SEM,LING-V,LING_V 518A-W/SEM/1,LING_V 518A-W,001,"Soskuthy, Marton"
UBCV,2024-2025,TFS,121,Restricted,2024-11-07,14:00,15:30,SEM,LING-V,LING_V 518A-W/SEM/1,LING_V 518A-W,001,"Soskuthy, Marton"
UBCV,2024-2025,TFS,121,Restricted,2024-10-31,15:30,17:00,SEM,LING-V,LING_V 527-W/SEM/001,LING_V 527-W,001,"Rullmann, Hotze"
UBCV,2024-2025,TFS,121,Restricted,2024-11-07,15:30,17:00,SEM,LING-V,LING_V 527-W/SEM/001,LING_V 527-W,001,"Rullmann, Hotze"
