Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,WESB,100,General,2024-10-28,9:00,10:00,LEC,BIOL-V,BIOL_V 112-W/LEC/101,BIOL_V 112-W,101,"Smith, Karen"
UBCV,2024-2025,WESB,100,General,2024-11-04,9:00,10:00,LEC,BIOL-V,BIOL_V 112-W/LEC/101,BIOL_V 112-W,101,"Smith, Karen"
UBCV,2024-2025,WESB,100,General,2024-10-28,10:00,11:00,LEC,CAPS-V,CAPS_V 390-W/LEC/001,CAPS_V 390-W,001,"Moukhles, Hakima"
UBCV,2024-2025,WESB,100,General,2024-11-04,10:00,11:00,LEC,CAPS-V,CAPS_V 390-W/LEC/001,CAPS_V 390-W,001,"Moukhles, Hakima"
UBCV,2024-2025,WESB,100,General,2024-10-28,11:00,12:00,LEC,CAPS-V,CAPS_V 205-W/LEC/001,CAPS_V 205-W,001,"Hull, Christina"
UBCV,2024-2025,WESB,100,General,2024-11-04,11:00,12:00,LEC,CAPS-V,CAPS_V 205-W/LEC/001,CAPS_V 205-W,001,"Hull, Christina"
UBCV,2024-2025,WESB,100,General,2024-10-28,12:00,13:00,LEC,BIOL-V,BIOL_V 112-W/LEC/102,BIOL_V 112-W,102,"Chen, Liane"
UBCV,2024-2025,WESB,100,General,2024-11-04,12:00,13:00,LEC,BIOL-V,BIOL_V 112-W/LEC/102,BIOL_V 112-W,102,"Chen, Liane"
UBCV,2024-2025,WESB,100,General,2024-10-28,13:00,14:00,LEC,KIN-V,KIN_V 205-W/LEC/001,KIN_V 205-W,001,"Gamu, Daniel"
UBCV,2024-2025,WESB,100,General,2024-11-04,13:00,14:00,LEC,KIN-V,KIN_V 205-W/LEC/001,KIN_V 205-W,001,"Gamu, Daniel"
UBCV,2024-2025,WESB,100,General,2024-10-28,14:00,15:00,LEC,STAT-V,STAT_V 200-W/LEC/002,STAT_V 200-W,103,"Lourenzutti, Rodolfo"
UBCV,2024-2025,WESB,100,General,2024-11-04,14:00,15:00,LEC,STAT-V,STAT_V 200-W/LEC/002,STAT_V 200-W,103,"Lourenzutti, Rodolfo"
UBCV,2024-2025,WESB,100,General,2024-10-28,15:00,16:00,LEC,KIN-V,KIN_V 300-W/LEC/001,KIN_V 300-W,001,"Lam, Tania"
UBCV,2024-2025,WESB,100,General,2024-11-04,15:00,16:00,LEC,KIN-V,KIN_V 300-W/LEC/001,KIN_V 300-W,001,"Lam, Tania"
UBCV,2024-2025,WESB,100,General,2024-10-29,8:00,9:30,LEC,BIOL-V,BIOL_V 112-W/LEC/103,BIOL_V 112-W,103,"Couch, Brett"
UBCV,2024-2025,WESB,100,General,2024-11-05,8:00,9:30,LEC,BIOL-V,BIOL_V 112-W/LEC/103,BIOL_V 112-W,103,"Couch, Brett"
UBCV,2024-2025,WESB,100,General,2024-10-29,9:30,11:00,LEC,PSYC-V,PSYC_V 102-W/LEC/001,PSYC_V 102-W,001,"Rivers, Andrew"
UBCV,2024-2025,WESB,100,General,2024-11-05,9:30,11:00,LEC,PSYC-V,PSYC_V 102-W/LEC/001,PSYC_V 102-W,001,"Rivers, Andrew"
UBCV,2024-2025,WESB,100,General,2024-10-29,11:00,12:30,LEC,PSYC-V,PSYC_V 102-W/LEC/002,PSYC_V 102-W,002,"Skiba, Rafal"
UBCV,2024-2025,WESB,100,General,2024-11-05,11:00,12:30,LEC,PSYC-V,PSYC_V 102-W/LEC/002,PSYC_V 102-W,002,"Skiba, Rafal"
UBCV,2024-2025,WESB,100,General,2024-10-29,12:30,14:00,LEC,MATH-V,MATH_V 221-W/LEC/101,MATH_V 221-W,101,"Leung, Fok-Shuen"
UBCV,2024-2025,WESB,100,General,2024-11-05,12:30,14:00,LEC,MATH-V,MATH_V 221-W/LEC/101,MATH_V 221-W,101,"Leung, Fok-Shuen"
UBCV,2024-2025,WESB,100,General,2024-10-29,14:00,15:00,LEC,ELEC-V,ELEC_V 491F-W/LEC/001, ,001,"Grecu, Cristian Sorin"
UBCV,2024-2025,WESB,100,General,2024-11-05,14:00,15:00,LEC,ELEC-V,ELEC_V 491F-W/LEC/001, ,001,"Grecu, Cristian Sorin"
UBCV,2024-2025,WESB,100,General,2024-10-29,15:30,17:00,LEC,APSC-V,APSC_V 160-W/LEC/102,APSC_V 160-W,102,"Bucci, Paul"
UBCV,2024-2025,WESB,100,General,2024-11-05,15:30,17:00,LEC,APSC-V,APSC_V 160-W/LEC/102,APSC_V 160-W,102,"Bucci, Paul"
UBCV,2024-2025,WESB,100,General,2024-10-30,9:00,10:00,LEC,BIOL-V,BIOL_V 112-W/LEC/101,BIOL_V 112-W,101,"Smith, Karen"
UBCV,2024-2025,WESB,100,General,2024-11-06,9:00,10:00,LEC,BIOL-V,BIOL_V 112-W/LEC/101,BIOL_V 112-W,101,"Smith, Karen"
UBCV,2024-2025,WESB,100,General,2024-10-30,10:00,11:00,LEC,CAPS-V,CAPS_V 390-W/LEC/001,CAPS_V 390-W,001,"Moukhles, Hakima"
UBCV,2024-2025,WESB,100,General,2024-11-06,10:00,11:00,LEC,CAPS-V,CAPS_V 390-W/LEC/001,CAPS_V 390-W,001,"Moukhles, Hakima"
UBCV,2024-2025,WESB,100,General,2024-10-30,11:00,12:00,LEC,CAPS-V,CAPS_V 205-W/LEC/001,CAPS_V 205-W,001,"Hull, Christina"
UBCV,2024-2025,WESB,100,General,2024-11-06,11:00,12:00,LEC,CAPS-V,CAPS_V 205-W/LEC/001,CAPS_V 205-W,001,"Hull, Christina"
UBCV,2024-2025,WESB,100,General,2024-10-30,12:00,13:00,LEC,BIOL-V,BIOL_V 112-W/LEC/102,BIOL_V 112-W,102,"Chen, Liane"
UBCV,2024-2025,WESB,100,General,2024-11-06,12:00,13:00,LEC,BIOL-V,BIOL_V 112-W/LEC/102,BIOL_V 112-W,102,"Chen, Liane"
UBCV,2024-2025,WESB,100,General,2024-10-30,13:00,14:00,LEC,KIN-V,KIN_V 205-W/LEC/001,KIN_V 205-W,001,"Gamu, Daniel"
UBCV,2024-2025,WESB,100,General,2024-11-06,13:00,14:00,LEC,KIN-V,KIN_V 205-W/LEC/001,KIN_V 205-W,001,"Gamu, Daniel"
UBCV,2024-2025,WESB,100,General,2024-10-30,14:00,15:00,LEC,STAT-V,STAT_V 200-W/LEC/002,STAT_V 200-W,103,"Lourenzutti, Rodolfo"
UBCV,2024-2025,WESB,100,General,2024-11-06,14:00,15:00,LEC,STAT-V,STAT_V 200-W/LEC/002,STAT_V 200-W,103,"Lourenzutti, Rodolfo"
UBCV,2024-2025,WESB,100,General,2024-10-30,15:00,16:00,LEC,KIN-V,KIN_V 300-W/LEC/001,KIN_V 300-W,001,"Lam, Tania"
UBCV,2024-2025,WESB,100,General,2024-11-06,15:00,16:00,LEC,KIN-V,KIN_V 300-W/LEC/001,KIN_V 300-W,001,"Lam, Tania"
UBCV,2024-2025,WESB,100,General,2024-10-31,8:00,9:30,LEC,BIOL-V,BIOL_V 112-W/LEC/103,BIOL_V 112-W,103,"Couch, Brett"
UBCV,2024-2025,WESB,100,General,2024-11-07,8:00,9:30,LEC,BIOL-V,BIOL_V 112-W/LEC/103,BIOL_V 112-W,103,"Couch, Brett"
UBCV,2024-2025,WESB,100,General,2024-10-31,9:30,11:00,LEC,PSYC-V,PSYC_V 102-W/LEC/001,PSYC_V 102-W,001,"Rivers, Andrew"
UBCV,2024-2025,WESB,100,General,2024-11-07,9:30,11:00,LEC,PSYC-V,PSYC_V 102-W/LEC/001,PSYC_V 102-W,001,"Rivers, Andrew"
UBCV,2024-2025,WESB,100,General,2024-10-31,11:00,12:30,LEC,PSYC-V,PSYC_V 102-W/LEC/002,PSYC_V 102-W,002,"Skiba, Rafal"
UBCV,2024-2025,WESB,100,General,2024-11-07,11:00,12:30,LEC,PSYC-V,PSYC_V 102-W/LEC/002,PSYC_V 102-W,002,"Skiba, Rafal"
UBCV,2024-2025,WESB,100,General,2024-10-31,12:30,14:00,LEC,MATH-V,MATH_V 221-W/LEC/101,MATH_V 221-W,101,"Leung, Fok-Shuen"
UBCV,2024-2025,WESB,100,General,2024-11-07,12:30,14:00,LEC,MATH-V,MATH_V 221-W/LEC/101,MATH_V 221-W,101,"Leung, Fok-Shuen"
UBCV,2024-2025,WESB,100,General,2024-10-31,14:00,15:00,LEC,ELEC-V,ELEC_V 491F-W/LEC/001, ,001,"Grecu, Cristian Sorin"
UBCV,2024-2025,WESB,100,General,2024-11-07,14:00,15:00,LEC,ELEC-V,ELEC_V 491F-W/LEC/001, ,001,"Grecu, Cristian Sorin"
UBCV,2024-2025,WESB,100,General,2024-10-31,15:30,17:00,LEC,APSC-V,APSC_V 160-W/LEC/102,APSC_V 160-W,102,"Bucci, Paul"
UBCV,2024-2025,WESB,100,General,2024-11-07,15:30,17:00,LEC,APSC-V,APSC_V 160-W/LEC/102,APSC_V 160-W,102,"Bucci, Paul"
UBCV,2024-2025,WESB,100,General,2024-11-07,18:00,21:00,WRB-ACTIVE,WRB_UBC,"CHEM 233 Midterm 07-Nov-2024 18:00 - BIOL 1000,  CHEM B250, IRC 6, LSK 200, LSK 201, WESB 100", , , 
UBCV,2024-2025,WESB,100,General,2024-11-01,9:00,10:00,LEC,BIOL-V,BIOL_V 112-W/LEC/101,BIOL_V 112-W,101,"Smith, Karen"
UBCV,2024-2025,WESB,100,General,2024-11-08,9:00,10:00,LEC,BIOL-V,BIOL_V 112-W/LEC/101,BIOL_V 112-W,101,"Smith, Karen"
UBCV,2024-2025,WESB,100,General,2024-11-01,10:00,11:00,LEC,CAPS-V,CAPS_V 390-W/LEC/001,CAPS_V 390-W,001,"Moukhles, Hakima"
UBCV,2024-2025,WESB,100,General,2024-11-08,10:00,11:00,LEC,CAPS-V,CAPS_V 390-W/LEC/001,CAPS_V 390-W,001,"Moukhles, Hakima"
UBCV,2024-2025,WESB,100,General,2024-11-01,11:00,12:00,LEC,CAPS-V,CAPS_V 205-W/LEC/001,CAPS_V 205-W,001,"Hull, Christina"
UBCV,2024-2025,WESB,100,General,2024-11-08,11:00,12:00,LEC,CAPS-V,CAPS_V 205-W/LEC/001,CAPS_V 205-W,001,"Hull, Christina"
UBCV,2024-2025,WESB,100,General,2024-11-01,12:00,13:00,LEC,BIOL-V,BIOL_V 112-W/LEC/102,BIOL_V 112-W,102,"Chen, Liane"
UBCV,2024-2025,WESB,100,General,2024-11-08,12:00,13:00,LEC,BIOL-V,BIOL_V 112-W/LEC/102,BIOL_V 112-W,102,"Chen, Liane"
UBCV,2024-2025,WESB,100,General,2024-11-01,13:00,14:00,LEC,KIN-V,KIN_V 205-W/LEC/001,KIN_V 205-W,001,"Gamu, Daniel"
