Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,DSOM,101,Restricted,2024-11-11,14:00,16:00,STD,THTR-V,THTR_V 130-W/STD/001/001,THTR_V 130-W,001,"Taylor, Lauren"
UBCV,2024-2025,DSOM,101,Restricted,2024-11-18,14:00,16:00,STD,THTR-V,THTR_V 130-W/STD/001/001,THTR_V 130-W,001,"Taylor, Lauren"
UBCV,2024-2025,DSOM,101,Restricted,2024-11-12,9:00,12:00,STD,THTR-V,THTR_V 308-W/STD/001,THTR_V 308-W,001,"Pennefather, Patrick"
UBCV,2024-2025,DSOM,101,Restricted,2024-11-19,9:00,12:00,STD,THTR-V,THTR_V 308-W/STD/001,THTR_V 308-W,001,"Pennefather, Patrick"
UBCV,2024-2025,DSOM,101,Restricted,2024-11-12,14:00,15:30,LEC,THFL-V,THFL_V 100-W/LEC/001,THFL_V 100-W,001,"Drljaca, Igor"
UBCV,2024-2025,DSOM,101,Restricted,2024-11-19,14:00,15:30,LEC,THFL-V,THFL_V 100-W/LEC/001,THFL_V 100-W,001,"Drljaca, Igor"
UBCV,2024-2025,DSOM,101,Restricted,2024-11-13,14:00,16:00,STD,THTR-V,THTR_V 130-W/STD/001/001,THTR_V 130-W,001,"Taylor, Lauren"
UBCV,2024-2025,DSOM,101,Restricted,2024-11-20,14:00,16:00,STD,THTR-V,THTR_V 130-W/STD/001/001,THTR_V 130-W,001,"Taylor, Lauren"
UBCV,2024-2025,DSOM,101,Restricted,2024-11-14,14:00,15:30,LEC,THFL-V,THFL_V 100-W/LEC/001,THFL_V 100-W,001,"Drljaca, Igor"
UBCV,2024-2025,DSOM,101,Restricted,2024-11-21,14:00,15:30,LEC,THFL-V,THFL_V 100-W/LEC/001,THFL_V 100-W,001,"Drljaca, Igor"
UBCV,2024-2025,DSOM,107,Restricted,2024-11-11,14:00,17:00,STD,VISA-V,VISA_V 180-W/STD/L01,VISA_V 180-W,L01, 
UBCV,2024-2025,DSOM,107,Restricted,2024-11-18,14:00,17:00,STD,VISA-V,VISA_V 180-W/STD/L01,VISA_V 180-W,L01, 
UBCV,2024-2025,DSOM,107,Restricted,2024-11-12,9:00,12:00,STD,VISA-V,VISA_V 360-W/STD/001,VISA_V 360-W,001,"Koh, Germaine"
UBCV,2024-2025,DSOM,107,Restricted,2024-11-19,9:00,12:00,STD,VISA-V,VISA_V 360-W/STD/001,VISA_V 360-W,001,"Koh, Germaine"
UBCV,2024-2025,DSOM,107,Restricted,2024-11-12,14:00,17:00,STD,VISA-V,VISA_V 230-W/STD/001,VISA_V 230-W,001,"McCrum, Phillip"
UBCV,2024-2025,DSOM,107,Restricted,2024-11-19,14:00,17:00,STD,VISA-V,VISA_V 230-W/STD/001,VISA_V 230-W,001,"McCrum, Phillip"
UBCV,2024-2025,DSOM,107,Restricted,2024-11-12,17:00,20:00,STD,VISA-V,VISA_V 183-W/STD/L04,VISA_V 183-W,L04, 
UBCV,2024-2025,DSOM,107,Restricted,2024-11-19,17:00,20:00,STD,VISA-V,VISA_V 183-W/STD/L04,VISA_V 183-W,L04, 
UBCV,2024-2025,DSOM,107,Restricted,2024-11-13,9:00,12:00,STD,VISA-V,VISA_V 180-W/STD/L04,VISA_V 180-W,L04, 
UBCV,2024-2025,DSOM,107,Restricted,2024-11-20,9:00,12:00,STD,VISA-V,VISA_V 180-W/STD/L04,VISA_V 180-W,L04, 
UBCV,2024-2025,DSOM,107,Restricted,2024-11-13,14:00,17:00,STD,VISA-V,VISA_V 260-W/STD/001,VISA_V 260-W,001,"Colin Moreno, Carlos"
UBCV,2024-2025,DSOM,107,Restricted,2024-11-20,14:00,17:00,STD,VISA-V,VISA_V 260-W/STD/001,VISA_V 260-W,001,"Colin Moreno, Carlos"
UBCV,2024-2025,DSOM,107,Restricted,2024-11-14,9:00,12:00,STD,VISA-V,VISA_V 180-W/STD/L05,VISA_V 180-W,L05, 
UBCV,2024-2025,DSOM,107,Restricted,2024-11-21,9:00,12:00,STD,VISA-V,VISA_V 180-W/STD/L05,VISA_V 180-W,L05, 
UBCV,2024-2025,DSOM,107,Restricted,2024-11-14,14:00,17:00,STD,VISA-V,VISA_V 260-W/STD/002,VISA_V 260-W,002,"Lycan, Kelly"
UBCV,2024-2025,DSOM,107,Restricted,2024-11-21,14:00,17:00,STD,VISA-V,VISA_V 260-W/STD/002,VISA_V 260-W,002,"Lycan, Kelly"
UBCV,2024-2025,DSOM,107,Restricted,2024-11-14,17:00,20:00,STD,VISA-V,VISA_V 180-W/STD/L06,VISA_V 180-W,L06, 
UBCV,2024-2025,DSOM,107,Restricted,2024-11-21,17:00,20:00,STD,VISA-V,VISA_V 180-W/STD/L06,VISA_V 180-W,L06, 
UBCV,2024-2025,DSOM,200,Restricted,2024-11-11,9:00,12:00,STD,VISA-V,VISA_V 183-W/STD/L01,VISA_V 183-W,L01, 
UBCV,2024-2025,DSOM,200,Restricted,2024-11-18,9:00,12:00,STD,VISA-V,VISA_V 183-W/STD/L01,VISA_V 183-W,L01, 
UBCV,2024-2025,DSOM,200,Restricted,2024-11-11,14:00,17:00,STD,VISA-V,VISA_V 183-W/STD/L02,VISA_V 183-W,L02, 
UBCV,2024-2025,DSOM,200,Restricted,2024-11-18,14:00,17:00,STD,VISA-V,VISA_V 183-W/STD/L02,VISA_V 183-W,L02, 
