Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,DLAM,005,Restricted,2024-11-18,9:30,11:00,LEC,COMM-V,COMM_V 436-W/LEC/101,COMM_V 436-W,101,"Wu, Zhouyu"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-25,9:30,11:00,LEC,COMM-V,COMM_V 436-W/LEC/101,COMM_V 436-W,101,"Wu, Zhouyu"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-18,11:00,12:30,LEC,COMM-V,COMM_V 436-W/LEC/102,COMM_V 436-W,102,"Wu, Zhouyu"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-25,11:00,12:30,LEC,COMM-V,COMM_V 436-W/LEC/102,COMM_V 436-W,102,"Wu, Zhouyu"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-18,12:30,14:00,LEC,COMM-V,COMM_V 377-W/LEC/101,COMM_V 377-W,101,"Lazrak, Ali"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-25,12:30,14:00,LEC,COMM-V,COMM_V 377-W/LEC/101,COMM_V 377-W,101,"Lazrak, Ali"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-19,9:30,11:00,LEC,COMM-V,COMM_V 468-W/LEC/101,COMM_V 468-W,101,"Dickson, Jenny"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-26,9:30,11:00,LEC,COMM-V,COMM_V 468-W/LEC/101,COMM_V 468-W,101,"Dickson, Jenny"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-19,11:00,12:30,LEC,COMM-V,COMM_V 468-W/LEC/102,COMM_V 468-W,102,"Dickson, Jenny"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-26,11:00,12:30,LEC,COMM-V,COMM_V 468-W/LEC/102,COMM_V 468-W,102,"Dickson, Jenny"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-19,14:00,15:30,LEC,COMM-V,COMM_V 323-W/LEC/101,COMM_V 323-W,101,"Paluch, Rebecca Mee Kyung"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-26,14:00,15:30,LEC,COMM-V,COMM_V 323-W/LEC/101,COMM_V 323-W,101,"Paluch, Rebecca Mee Kyung"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-19,18:00,21:00,LEC,COMM-V,COMM_V 466-W/LEC/001, ,001,"Abolmaesumi, Purang"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-26,18:00,21:00,LEC,COMM-V,COMM_V 466-W/LEC/001, ,001,"Abolmaesumi, Purang"
UBCV,2024-2025,DLAM,009,Restricted,2024-11-19,18:00,21:00,LEC,COMM-V,APSC_V 486-W/STD/001, ,001,"Lee, Terry"
UBCV,2024-2025,DLAM,009,Restricted,2024-11-26,18:00,21:00,LEC,COMM-V,APSC_V 486-W/STD/001, ,001,"Lee, Terry"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-20,9:30,11:00,LEC,COMM-V,COMM_V 436-W/LEC/101,COMM_V 436-W,101,"Wu, Zhouyu"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-27,9:30,11:00,LEC,COMM-V,COMM_V 436-W/LEC/101,COMM_V 436-W,101,"Wu, Zhouyu"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-20,11:00,12:30,LEC,COMM-V,COMM_V 436-W/LEC/102,COMM_V 436-W,102,"Wu, Zhouyu"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-27,11:00,12:30,LEC,COMM-V,COMM_V 436-W/LEC/102,COMM_V 436-W,102,"Wu, Zhouyu"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-20,12:30,14:00,LEC,COMM-V,COMM_V 377-W/LEC/101,COMM_V 377-W,101,"Lazrak, Ali"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-27,12:30,14:00,LEC,COMM-V,COMM_V 377-W/LEC/101,COMM_V 377-W,101,"Lazrak, Ali"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-20,14:00,17:00,LEC,COMM-V,COMR_V 388-W/LEC/101, , ,"Thiruchittampalam, Dharini"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-27,14:00,17:00,LEC,COMM-V,COMR_V 388-W/LEC/101, , ,"Thiruchittampalam, Dharini"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-21,9:30,11:00,LEC,COMM-V,COMM_V 468-W/LEC/101,COMM_V 468-W,101,"Dickson, Jenny"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-28,9:30,11:00,LEC,COMM-V,COMM_V 468-W/LEC/101,COMM_V 468-W,101,"Dickson, Jenny"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-21,11:00,12:30,LEC,COMM-V,COMM_V 468-W/LEC/102,COMM_V 468-W,102,"Dickson, Jenny"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-28,11:00,12:30,LEC,COMM-V,COMM_V 468-W/LEC/102,COMM_V 468-W,102,"Dickson, Jenny"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-21,14:00,15:30,LEC,COMM-V,COMM_V 323-W/LEC/101,COMM_V 323-W,101,"Paluch, Rebecca Mee Kyung"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-28,14:00,15:30,LEC,COMM-V,COMM_V 323-W/LEC/101,COMM_V 323-W,101,"Paluch, Rebecca Mee Kyung"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-22,9:00,12:00,LEC,COMM-V,COMM_V 486O-W/LEC/101,COMM_V 486O-W,101,"Weir, Clayton"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-29,9:00,12:00,LEC,COMM-V,COMM_V 486O-W/LEC/101,COMM_V 486O-W,101,"Weir, Clayton"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-29,12:30,14:00,LEC,COMM-V,COMM_V 386P-W/LEC/001,COMM_V 386P-W,001,"Fisher, Adlai"
UBCV,2024-2025,DLAM,005,Restricted,2024-11-22,12:30,14:00,LEC,COMM-V,COMM_V 486P-W/LEC/001,COMM_V 486P-W,001,"Dias Saraiva-Patelli, Ella"
UBCV,2024-2025,DLAM,009,Restricted,2024-11-18,9:30,11:00,LEC,COMM-V,COMR_V 485-W/101, , ,"Thiruchittampalam, Dharini"
UBCV,2024-2025,DLAM,009,Restricted,2024-11-25,9:30,11:00,LEC,COMM-V,COMR_V 485-W/101, , ,"Thiruchittampalam, Dharini"
UBCV,2024-2025,DLAM,009,Restricted,2024-11-18,11:00,12:30,LEC,COMM-V,COMM_V 280-W/LEC/101, , ,"Miller, David"
UBCV,2024-2025,DLAM,009,Restricted,2024-11-25,11:00,12:30,LEC,COMM-V,COMM_V 280-W/LEC/101, , ,"Miller, David"
UBCV,2024-2025,DLAM,009,Restricted,2024-11-18,12:30,14:00,LEC,COMM-V,COMM_V 314-W/LEC/101,COMM_V 314-W,101,"Bull, Justin"
UBCV,2024-2025,DLAM,009,Restricted,2024-11-25,12:30,14:00,LEC,COMM-V,COMM_V 314-W/LEC/101,COMM_V 314-W,101,"Bull, Justin"
UBCV,2024-2025,DLAM,009,Restricted,2024-11-18,14:00,15:30,LEC,COMM-V,COMM_V 337-W/LEC/101,COMM_V 337-W,101,"Beyzaei, Nader"
UBCV,2024-2025,DLAM,009,Restricted,2024-11-25,14:00,15:30,LEC,COMM-V,COMM_V 337-W/LEC/101,COMM_V 337-W,101,"Beyzaei, Nader"
UBCV,2024-2025,DLAM,009,Restricted,2024-11-18,15:30,17:00,LEC,COMM-V,COMM_V 464-W/LEC/101,COMM_V 464-W,101,"Wang, Zhongyi"
