Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,TFPB,104,Restricted,2024-11-18,9:00,12:00,SEM,FIPR-V,FIPR_V 533A-W/SEM/001,FIPR_V 533A-W,001,"Drljaca, Igor"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-25,9:00,12:00,SEM,FIPR-V,FIPR_V 533A-W/SEM/001,FIPR_V 533A-W,001,"Drljaca, Igor"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-18,13:00,14:00,STD,THTR-V,THTR_V 205A-W/STD/001,THTR_V 205A-W,001,"Rizzotti, Patrick"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-25,13:00,14:00,STD,THTR-V,THTR_V 205A-W/STD/001,THTR_V 205A-W,001,"Rizzotti, Patrick"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-18,14:00,17:00,STD,FIPR-V,FIPR_V 233A-W/STD/001,FIPR_V 233A-W,001,"Drljaca, Igor"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-25,14:00,17:00,STD,FIPR-V,FIPR_V 233A-W/STD/001,FIPR_V 233A-W,001,"Drljaca, Igor"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-18,18:00,21:00,STD,FIPR-V,FIPR_V 339-W/STD/001,FIPR_V 339-W,001,"Spivak, Refael"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-25,18:00,21:00,STD,FIPR-V,FIPR_V 339-W/STD/001,FIPR_V 339-W,001,"Spivak, Refael"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-19,10:00,12:00,LEC,FIPR-V,FIPR_V 234-W/LEC/001,FIPR_V 234-W,001,"McGowan, Sharon"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-26,10:00,12:00,LEC,FIPR-V,FIPR_V 234-W/LEC/001,FIPR_V 234-W,001,"McGowan, Sharon"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-19,17:00,22:00,STD,FIPR-V,FIPR_V 437-W/STD/001/001,FIPR_V 437-W,001,"Scott, Devan"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-26,17:00,22:00,STD,FIPR-V,FIPR_V 437-W/STD/001/001,FIPR_V 437-W,001,"Scott, Devan"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-20,9:00,12:00,STD,FIPR-V,FIPR_V 433-W/STD/001,FIPR_V 433-W,001,"Walsh, Shannon"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-27,9:00,12:00,STD,FIPR-V,FIPR_V 433-W/STD/001,FIPR_V 433-W,001,"Walsh, Shannon"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-20,18:00,21:00,LEC,FIPR-V,FIPR_V 434A-W/LEC/001,FIPR_V 434A-W,001,"McCall, Lael"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-27,18:00,21:00,LEC,FIPR-V,FIPR_V 434A-W/LEC/001,FIPR_V 434A-W,001,"McCall, Lael"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-21,9:00,12:00,LEC,FIPR-V,FIPR_V 101-W/LEC/001/001,FIPR_V 101-W,001,"Scott, Devan"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-28,9:00,12:00,LEC,FIPR-V,FIPR_V 101-W/LEC/001/001,FIPR_V 101-W,001,"Scott, Devan"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-21,14:00,17:00,STD,FIPR-V,FIPR_V 333-W/STD/001,FIPR_V 333-W,001,"Bourges, Antoine"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-28,14:00,17:00,STD,FIPR-V,FIPR_V 333-W/STD/001,FIPR_V 333-W,001,"Bourges, Antoine"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-22,9:00,12:00,SEM,FIPR-V,FIPR_V 534A-W/SEM/001,FIPR_V 534A-W,001,"McGowan, Sharon"
UBCV,2024-2025,TFPB,104,Restricted,2024-11-29,9:00,12:00,SEM,FIPR-V,FIPR_V 534A-W/SEM/001,FIPR_V 534A-W,001,"McGowan, Sharon"
UBCV,2024-2025,TFPB,2,Restricted,2024-11-19,13:00,15:00,LAB,THTR-V,THTR_V 205A-W/LAB/L02/L02,THTR_V 205A-W,L02, 
UBCV,2024-2025,TFPB,2,Restricted,2024-11-26,13:00,15:00,LAB,THTR-V,THTR_V 205A-W/LAB/L02/L02,THTR_V 205A-W,L02, 
