Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,CHBE,101,General,2025-01-13,9:00,10:00,LEC,FRST-V,FRST_V 210-W/LEC/201,FRST_V 210-W,201,"McKown, Athena"
UBCV,2024-2025,CHBE,101,General,2025-01-20,9:00,10:00,LEC,FRST-V,FRST_V 210-W/LEC/201,FRST_V 210-W,201,"McKown, Athena"
UBCV,2024-2025,CHBE,101,General,2025-01-13,10:00,11:00,LEC,CPSC-V,CPSC_V 320-W/LEC/201,CPSC_V 320-W,201,"Bradley, Susanne"
UBCV,2024-2025,CHBE,101,General,2025-01-20,10:00,11:00,LEC,CPSC-V,CPSC_V 320-W/LEC/201,CPSC_V 320-W,201,"Bradley, Susanne"
UBCV,2024-2025,CHBE,101,General,2025-01-13,11:00,12:00,LEC,CPSC-V,CPSC_V 313-W/LEC/203,CPSC_V 313-W,203,"Belleville, Patrice"
UBCV,2024-2025,CHBE,101,General,2025-01-20,11:00,12:00,LEC,CPSC-V,CPSC_V 313-W/LEC/203,CPSC_V 313-W,203,"Belleville, Patrice"
UBCV,2024-2025,CHBE,101,General,2025-01-13,12:00,13:00,LEC,CPSC-V,CPSC_V 221-W/LEC/203,CPSC_V 221-W,203,"Tien, Geoffrey"
UBCV,2024-2025,CHBE,101,General,2025-01-20,12:00,13:00,LEC,CPSC-V,CPSC_V 221-W/LEC/203,CPSC_V 221-W,203,"Tien, Geoffrey"
UBCV,2024-2025,CHBE,101,General,2025-01-13,13:00,14:00,LEC,CPSC-V,CPSC_V 221-W/LEC/201,CPSC_V 221-W,201,"Tien, Geoffrey"
UBCV,2024-2025,CHBE,101,General,2025-01-20,13:00,14:00,LEC,CPSC-V,CPSC_V 221-W/LEC/201,CPSC_V 221-W,201,"Tien, Geoffrey"
UBCV,2024-2025,CHBE,101,General,2025-01-13,14:00,15:30,LEC,CPSC-V,CPSC_V 304-W/LEC/202,CPSC_V 304-W,202,"Ng, Raymond Tak-Yan"
UBCV,2024-2025,CHBE,101,General,2025-01-20,14:00,15:30,LEC,CPSC-V,CPSC_V 304-W/LEC/202,CPSC_V 304-W,202,"Ng, Raymond Tak-Yan"
UBCV,2024-2025,CHBE,101,General,2025-01-13,16:00,17:00,LEC,CPSC-V,CPSC_V 221-W/LEC/202,CPSC_V 221-W,202,"Tien, Geoffrey"
UBCV,2024-2025,CHBE,101,General,2025-01-20,16:00,17:00,LEC,CPSC-V,CPSC_V 221-W/LEC/202,CPSC_V 221-W,202,"Tien, Geoffrey"
UBCV,2024-2025,CHBE,101,General,2025-01-13,17:00,18:30,LEC,CPSC-V,CPSC_V 304-W/LEC/203,CPSC_V 304-W,203,"Lynov, Vsevolod"
UBCV,2024-2025,CHBE,101,General,2025-01-20,17:00,18:30,LEC,CPSC-V,CPSC_V 304-W/LEC/203,CPSC_V 304-W,203,"Lynov, Vsevolod"
UBCV,2024-2025,CHBE,101,General,2025-01-14,8:00,9:30,LEC,APSC-V,APSC_V 262-W/LEC/201, ,202,"Potvin, Gabriel"
UBCV,2024-2025,CHBE,101,General,2025-01-21,8:00,9:30,LEC,APSC-V,APSC_V 262-W/LEC/201, ,202,"Potvin, Gabriel"
UBCV,2024-2025,CHBE,101,General,2025-01-14,9:30,11:00,LEC,CHBE-V,CHBE_V 459-W/LEC/201,CHBE_V 459-W,201,"Baldwin, Susan"
UBCV,2024-2025,CHBE,101,General,2025-01-21,9:30,11:00,LEC,CHBE-V,CHBE_V 459-W/LEC/201,CHBE_V 459-W,201,"Baldwin, Susan"
UBCV,2024-2025,CHBE,101,General,2025-01-14,11:00,12:30,LEC,PSYC-V,PSYC_V 278-W/LEC/001,PSYC_V 278-W,001,"Enns, James"
UBCV,2024-2025,CHBE,101,General,2025-01-21,11:00,12:30,LEC,PSYC-V,PSYC_V 278-W/LEC/001,PSYC_V 278-W,001,"Enns, James"
UBCV,2024-2025,CHBE,101,General,2025-01-14,12:30,14:00,LEC,NSCI-V,NSCI_V 140-W/LEC/201,NSCI_V 140-W,201,"Goldberg, Hagar"
UBCV,2024-2025,CHBE,101,General,2025-01-21,12:30,14:00,LEC,NSCI-V,NSCI_V 140-W/LEC/201,NSCI_V 140-W,201,"Goldberg, Hagar"
UBCV,2024-2025,CHBE,101,General,2025-01-14,14:00,15:30,LEC,NSCI-V,NSCI_V 201-W/LEC/001,NSCI_V 201-W,001,"Trujillo-Pisanty, Ivan"
UBCV,2024-2025,CHBE,101,General,2025-01-21,14:00,15:30,LEC,NSCI-V,NSCI_V 201-W/LEC/001,NSCI_V 201-W,001,"Trujillo-Pisanty, Ivan"
UBCV,2024-2025,CHBE,101,General,2025-01-14,16:00,17:00,LEC,FNH-V,FNH_V 330-W/LEC/002,FNH_V 330-W,002,"Martiniuk, Jonathan"
UBCV,2024-2025,CHBE,101,General,2025-01-21,16:00,17:00,LEC,FNH-V,FNH_V 330-W/LEC/002,FNH_V 330-W,002,"Martiniuk, Jonathan"
UBCV,2024-2025,CHBE,101,General,2025-01-15,9:00,10:00,LEC,FRST-V,FRST_V 210-W/LEC/201,FRST_V 210-W,201,"McKown, Athena"
UBCV,2024-2025,CHBE,101,General,2025-01-22,9:00,10:00,LEC,FRST-V,FRST_V 210-W/LEC/201,FRST_V 210-W,201,"McKown, Athena"
UBCV,2024-2025,CHBE,101,General,2025-01-15,10:00,11:00,LEC,CPSC-V,CPSC_V 320-W/LEC/201,CPSC_V 320-W,201,"Bradley, Susanne"
UBCV,2024-2025,CHBE,101,General,2025-01-22,10:00,11:00,LEC,CPSC-V,CPSC_V 320-W/LEC/201,CPSC_V 320-W,201,"Bradley, Susanne"
UBCV,2024-2025,CHBE,101,General,2025-01-15,11:00,12:00,LEC,CPSC-V,CPSC_V 313-W/LEC/203,CPSC_V 313-W,203,"Belleville, Patrice"
UBCV,2024-2025,CHBE,101,General,2025-01-22,11:00,12:00,LEC,CPSC-V,CPSC_V 313-W/LEC/203,CPSC_V 313-W,203,"Belleville, Patrice"
UBCV,2024-2025,CHBE,101,General,2025-01-15,12:00,13:00,LEC,CPSC-V,CPSC_V 221-W/LEC/203,CPSC_V 221-W,203,"Tien, Geoffrey"
UBCV,2024-2025,CHBE,101,General,2025-01-22,12:00,13:00,LEC,CPSC-V,CPSC_V 221-W/LEC/203,CPSC_V 221-W,203,"Tien, Geoffrey"
UBCV,2024-2025,CHBE,101,General,2025-01-15,13:00,14:00,LEC,CPSC-V,CPSC_V 221-W/LEC/201,CPSC_V 221-W,201,"Tien, Geoffrey"
UBCV,2024-2025,CHBE,101,General,2025-01-22,13:00,14:00,LEC,CPSC-V,CPSC_V 221-W/LEC/201,CPSC_V 221-W,201,"Tien, Geoffrey"
