Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,EOS,101,Restricted,2025-01-13,14:00,17:00,LAB,EOSC-V,EOSC_V 223-W/LAB/L2A,EOSC_V 223-W,L2A, 
UBCV,2024-2025,EOS,101,Restricted,2025-01-20,14:00,17:00,LAB,EOSC-V,EOSC_V 223-W/LAB/L2A,EOSC_V 223-W,L2A, 
UBCV,2024-2025,EOS,101,Restricted,2025-01-14,9:30,11:00,LEC,EOSC-V,EOSC_V 454-W/LEC/201, ,201,"Heagy, Lindsey"
UBCV,2024-2025,EOS,101,Restricted,2025-01-21,9:30,11:00,LEC,EOSC-V,EOSC_V 454-W/LEC/201, ,201,"Heagy, Lindsey"
UBCV,2024-2025,EOS,101,Restricted,2025-01-14,13:00,15:00,LAB,EOSC-V,EOSC_V 222-W/LAB/L2C,EOSC_V 222-W,L2C, 
UBCV,2024-2025,EOS,101,Restricted,2025-01-21,13:00,15:00,LAB,EOSC-V,EOSC_V 222-W/LAB/L2C,EOSC_V 222-W,L2C, 
UBCV,2024-2025,EOS,101,Restricted,2025-01-14,15:00,18:00,LAB,EOSC-V,EOSC_V 223-W/LAB/L2B,EOSC_V 223-W,L2B, 
UBCV,2024-2025,EOS,101,Restricted,2025-01-21,15:00,18:00,LAB,EOSC-V,EOSC_V 223-W/LAB/L2B,EOSC_V 223-W,L2B, 
UBCV,2024-2025,EOS,101,Restricted,2025-01-15,9:00,12:00,IND,ENVR-V,ENVR_V 448B-W/IND/202,ENVR_V 448B-W,202,"Boyd, David"
UBCV,2024-2025,EOS,101,Restricted,2025-01-22,9:00,12:00,IND,ENVR-V,ENVR_V 448B-W/IND/202,ENVR_V 448B-W,202,"Boyd, David"
UBCV,2024-2025,EOS,101,Restricted,2025-01-15,13:00,15:00,LAB,EOSC-V,EOSC_V 222-W/LAB/L2A,EOSC_V 222-W,L2A, 
UBCV,2024-2025,EOS,101,Restricted,2025-01-22,13:00,15:00,LAB,EOSC-V,EOSC_V 222-W/LAB/L2A,EOSC_V 222-W,L2A, 
UBCV,2024-2025,EOS,101,Restricted,2025-01-16,9:30,11:00,LEC,EOSC-V,EOSC_V 454-W/LEC/201, ,201,"Heagy, Lindsey"
UBCV,2024-2025,EOS,101,Restricted,2025-01-23,9:30,11:00,LEC,EOSC-V,EOSC_V 454-W/LEC/201, ,201,"Heagy, Lindsey"
UBCV,2024-2025,EOS,101,Restricted,2025-01-16,15:00,18:00,LAB,EOSC-V,EOSC_V 223-W/LAB/L2D,EOSC_V 223-W,L2D, 
UBCV,2024-2025,EOS,101,Restricted,2025-01-23,15:00,18:00,LAB,EOSC-V,EOSC_V 223-W/LAB/L2D,EOSC_V 223-W,L2D, 
UBCV,2024-2025,EOS,101,Restricted,2025-01-17,9:00,11:00,LAB,EOSC-V,EOSC_V 222-W/LAB/L2B,EOSC_V 222-W,L2B, 
UBCV,2024-2025,EOS,101,Restricted,2025-01-24,9:00,11:00,LAB,EOSC-V,EOSC_V 222-W/LAB/L2B,EOSC_V 222-W,L2B, 
UBCV,2024-2025,EOS,101,Restricted,2025-01-17,15:00,18:00,LAB,EOSC-V,EOSC_V 223-W/LAB/L2E,EOSC_V 223-W,L2E, 
UBCV,2024-2025,EOS,101,Restricted,2025-01-24,15:00,18:00,LAB,EOSC-V,EOSC_V 223-W/LAB/L2E,EOSC_V 223-W,L2E, 
UBCV,2024-2025,EOS,105,Restricted,2025-01-13,9:00,10:00,LEC,EOSC-V,EOSC_V 333-W/LEC/201,EOSC_V 333-W,201,"Weis, Dominique"
