Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,ESB,1012,General,2025-01-13,8:00,9:30,LEC,STAT-V,STAT_V 201-W/LEC/203,STAT_V 201-W,203,"Lourenzutti, Rodolfo"
UBCV,2024-2025,ESB,1012,General,2025-01-20,8:00,9:30,LEC,STAT-V,STAT_V 201-W/LEC/203,STAT_V 201-W,203,"Lourenzutti, Rodolfo"
UBCV,2024-2025,ESB,1012,General,2025-01-13,9:30,11:00,LEC,DSCI-V,DSCI_V 524-W/LEC/001,DSCI_V 524-W,001,"Timbers, Tiffany"
UBCV,2024-2025,ESB,1012,General,2025-01-20,9:30,11:00,LEC,DSCI-V,DSCI_V 524-W/LEC/001,DSCI_V 524-W,001,"Timbers, Tiffany"
UBCV,2024-2025,ESB,1012,General,2025-01-13,11:00,12:00,LEC,APBI-V,APBI_V 200-W/LEC/002,APBI_V 200-W,002,"Krzic, Maja"
UBCV,2024-2025,ESB,1012,General,2025-01-20,11:00,12:00,LEC,APBI-V,APBI_V 200-W/LEC/002,APBI_V 200-W,002,"Krzic, Maja"
UBCV,2024-2025,ESB,1012,General,2025-01-13,12:00,13:00,LEC,MATH-V,MATH_V 307-W/LEC/201,MATH_V 307-W,201,"Plan, Yaniv"
UBCV,2024-2025,ESB,1012,General,2025-01-20,12:00,13:00,LEC,MATH-V,MATH_V 307-W/LEC/201,MATH_V 307-W,201,"Plan, Yaniv"
UBCV,2024-2025,ESB,1012,General,2025-01-13,13:00,14:00,LEC,EOSC-V,EOSC_V 114-W/LEC/202,EOSC_V 114-W,202,"Bostock, Michael"
UBCV,2024-2025,ESB,1012,General,2025-01-20,13:00,14:00,LEC,EOSC-V,EOSC_V 114-W/LEC/202,EOSC_V 114-W,202,"Bostock, Michael"
UBCV,2024-2025,ESB,1012,General,2025-01-13,14:00,15:00,LEC,KIN-V,KIN_V 438-W/LEC/001,KIN_V 438-W,001,"Mitchell, Cameron"
UBCV,2024-2025,ESB,1012,General,2025-01-20,14:00,15:00,LEC,KIN-V,KIN_V 438-W/LEC/001,KIN_V 438-W,001,"Mitchell, Cameron"
UBCV,2024-2025,ESB,1012,General,2025-01-13,15:00,16:00,LEC,CPSC-V,CPSC_V 317-W/LEC/201,CPSC_V 317-W,201,"Raiyat Aliabadi, Maryam"
UBCV,2024-2025,ESB,1012,General,2025-01-20,15:00,16:00,LEC,CPSC-V,CPSC_V 317-W/LEC/201,CPSC_V 317-W,201,"Raiyat Aliabadi, Maryam"
UBCV,2024-2025,ESB,1012,General,2025-01-13,17:00,18:30,LEC,CPEN-V,ELEC_V 481-W/LEC/3, ,201,"Carmichael, Jeffrey"
UBCV,2024-2025,ESB,1012,General,2025-01-20,17:00,18:30,LEC,CPEN-V,ELEC_V 481-W/LEC/3, ,201,"Carmichael, Jeffrey"
UBCV,2024-2025,ESB,1012,General,2025-01-14,8:00,9:30,WRB-ACTIVE,WRB_UBC,"24WT2 Tue, Thu (week(s): January 6, 2025-April 7, 2025) 8:00 - ESB 1012", , , 
UBCV,2024-2025,ESB,1012,General,2025-01-21,8:00,9:30,WRB-ACTIVE,WRB_UBC,"24WT2 Tue, Thu (week(s): January 6, 2025-April 7, 2025) 8:00 - ESB 1012", , , 
UBCV,2024-2025,ESB,1012,General,2025-01-14,9:30,11:00,LEC,FNH-V,FNH_V 350-W/LEC/002,FNH_V 350-W,002,"Ezzat Zadeh, Zahra"
UBCV,2024-2025,ESB,1012,General,2025-01-21,9:30,11:00,LEC,FNH-V,FNH_V 350-W/LEC/002,FNH_V 350-W,002,"Ezzat Zadeh, Zahra"
UBCV,2024-2025,ESB,1012,General,2025-01-14,11:00,12:30,LEC,FNH-V,FNH_V 200-W/LEC/103,FNH_V 200-W,103,"Madadi Noei, Azita"
UBCV,2024-2025,ESB,1012,General,2025-01-21,11:00,12:30,LEC,FNH-V,FNH_V 200-W/LEC/103,FNH_V 200-W,103,"Madadi Noei, Azita"
UBCV,2024-2025,ESB,1012,General,2025-01-14,12:30,14:00,LEC,MATH-V,MATH_V 220-W/LEC/202,MATH_V 220-W,202,"Ollivier, Rachel"
UBCV,2024-2025,ESB,1012,General,2025-01-21,12:30,14:00,LEC,MATH-V,MATH_V 220-W/LEC/202,MATH_V 220-W,202,"Ollivier, Rachel"
UBCV,2024-2025,ESB,1012,General,2025-01-14,14:00,15:30,LEC,LING-V,LING_V 201-W/LEC/002,LING_V 201-W,002,"Morzycki, Marcin"
UBCV,2024-2025,ESB,1012,General,2025-01-21,14:00,15:30,LEC,LING-V,LING_V 201-W/LEC/002,LING_V 201-W,002,"Morzycki, Marcin"
