Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,PCE,1002,Restricted,2025-01-13,9:00,12:00,STD,VISA-V,VISA_V 401F-W/STD/001,VISA_V 401F-W,001,"Koh, Germaine"
UBCV,2024-2025,PCE,1002,Restricted,2025-01-20,9:00,12:00,STD,VISA-V,VISA_V 401F-W/STD/001,VISA_V 401F-W,001,"Koh, Germaine"
UBCV,2024-2025,PCE,1002,Restricted,2025-01-13,14:00,17:00,STD,VISA-V,VISA_V 340-W/STD/002,VISA_V 340-W,002,"Pina Baldoquin, Manuel"
UBCV,2024-2025,PCE,1002,Restricted,2025-01-20,14:00,17:00,STD,VISA-V,VISA_V 340-W/STD/002,VISA_V 340-W,002,"Pina Baldoquin, Manuel"
UBCV,2024-2025,PCE,1002,Restricted,2025-01-14,9:00,12:00,STD,VISA-V,VISA_V 210-W/STD/003,VISA_V 210-W,003,"Pina Baldoquin, Manuel"
UBCV,2024-2025,PCE,1002,Restricted,2025-01-21,9:00,12:00,STD,VISA-V,VISA_V 210-W/STD/003,VISA_V 210-W,003,"Pina Baldoquin, Manuel"
UBCV,2024-2025,PCE,2000,Restricted,2025-01-14,14:00,17:00,STD,VISA-V,VISA_V 351-W/STD/001,VISA_V 351-W,001,"Starling, Dan"
UBCV,2024-2025,PCE,2000,Restricted,2025-01-21,14:00,17:00,STD,VISA-V,VISA_V 351-W/STD/001,VISA_V 351-W,001,"Starling, Dan"
UBCV,2024-2025,PCE,1002,Restricted,2025-01-14,14:00,17:00,STD,VISA-V,VISA_V 351-W/STD/001,VISA_V 351-W,001,"Starling, Dan"
UBCV,2024-2025,PCE,1002,Restricted,2025-01-21,14:00,17:00,STD,VISA-V,VISA_V 351-W/STD/001,VISA_V 351-W,001,"Starling, Dan"
UBCV,2024-2025,PCE,1002,Restricted,2025-01-15,9:00,12:00,STD,VISA-V,VISA_V 390-W/STD/002,VISA_V 390-W,002,"Martinez, Guadalupe"
UBCV,2024-2025,PCE,1002,Restricted,2025-01-22,9:00,12:00,STD,VISA-V,VISA_V 390-W/STD/002,VISA_V 390-W,002,"Martinez, Guadalupe"
UBCV,2024-2025,PCE,1002,Restricted,2025-01-15,14:00,17:00,SEM,VISA-V,VISA_V 481-W/SEM/001,VISA_V 481-W,001,"Pina Baldoquin, Manuel"
UBCV,2024-2025,PCE,1002,Restricted,2025-01-22,14:00,17:00,SEM,VISA-V,VISA_V 481-W/SEM/001,VISA_V 481-W,001,"Pina Baldoquin, Manuel"
UBCV,2024-2025,PCE,1002,Restricted,2025-01-16,9:00,12:00,STD,VISA-V,ARTH_V 479-W/STD/001, ,001,"Usher, Camille"
UBCV,2024-2025,PCE,1002,Restricted,2025-01-23,9:00,12:00,STD,VISA-V,ARTH_V 479-W/STD/001, ,001,"Usher, Camille"
UBCV,2024-2025,PCE,1002,Restricted,2025-01-16,14:00,17:00,STD,VISA-V,VISA_V 311-W/STD/001,VISA_V 311-W,001,"D'Onofrio, Christine"
UBCV,2024-2025,PCE,1002,Restricted,2025-01-23,14:00,17:00,STD,VISA-V,VISA_V 311-W/STD/001,VISA_V 311-W,001,"D'Onofrio, Christine"
UBCV,2024-2025,PCE,3000,Restricted,2025-01-15,14:00,17:00,STD,VISA-V,VISA_V 376-W/STD/001,VISA_V 376-W,001,"Starling, Dan"
UBCV,2024-2025,PCE,3000,Restricted,2025-01-22,14:00,17:00,STD,VISA-V,VISA_V 376-W/STD/001,VISA_V 376-W,001,"Starling, Dan"
UBCV,2024-2025,PCE,2000,Restricted,2025-01-15,14:00,17:00,STD,VISA-V,VISA_V 376-W/STD/001,VISA_V 376-W,001,"Starling, Dan"
UBCV,2024-2025,PCE,2000,Restricted,2025-01-22,14:00,17:00,STD,VISA-V,VISA_V 376-W/STD/001,VISA_V 376-W,001,"Starling, Dan"
UBCV,2024-2025,PCE,2000,Restricted,2025-01-16,9:00,12:00,STD,VISA-V,VISA_V 250-W/STD/003,VISA_V 250-W,003,"Bordo, Rosamunde"
UBCV,2024-2025,PCE,2000,Restricted,2025-01-23,9:00,12:00,STD,VISA-V,VISA_V 250-W/STD/003,VISA_V 250-W,003,"Bordo, Rosamunde"
UBCV,2024-2025,PCE,3007,Restricted,2025-01-16,9:00,12:00,STD,VISA-V,VISA_V 250-W/STD/003,VISA_V 250-W,003,"Bordo, Rosamunde"
UBCV,2024-2025,PCE,3007,Restricted,2025-01-23,9:00,12:00,STD,VISA-V,VISA_V 250-W/STD/003,VISA_V 250-W,003,"Bordo, Rosamunde"
UBCV,2024-2025,PCE,3000,Restricted,2025-01-14,14:00,17:00,STD,VISA-V,VISA_V 401G-W/STD/001,VISA_V 401G-W,001,"Mitchell, Karice"
UBCV,2024-2025,PCE,3000,Restricted,2025-01-21,14:00,17:00,STD,VISA-V,VISA_V 401G-W/STD/001,VISA_V 401G-W,001,"Mitchell, Karice"
UBCV,2024-2025,PCE,3000,Restricted,2025-01-16,9:00,12:00,STD,VISA-V,VISA_V 401H-W/STD/001,VISA_V 401H-W,001,"Starling, Dan"
UBCV,2024-2025,PCE,3000,Restricted,2025-01-23,9:00,12:00,STD,VISA-V,VISA_V 401H-W/STD/001,VISA_V 401H-W,001,"Starling, Dan"
UBCV,2024-2025,PCE,3007,Restricted,2025-01-13,9:00,12:00,STD,VISA-V,VISA_V 183-W/STD/L05,VISA_V 183-W,L05, 
UBCV,2024-2025,PCE,3007,Restricted,2025-01-20,9:00,12:00,STD,VISA-V,VISA_V 183-W/STD/L05,VISA_V 183-W,L05, 
UBCV,2024-2025,PCE,3007,Restricted,2025-01-13,14:00,17:00,STD,VISA-V,VISA_V 183-W/STD/L09,VISA_V 183-W,L09, 
UBCV,2024-2025,PCE,3007,Restricted,2025-01-20,14:00,17:00,STD,VISA-V,VISA_V 183-W/STD/L09,VISA_V 183-W,L09, 
UBCV,2024-2025,PCE,3007,Restricted,2025-01-14,9:00,12:00,STD,VISA-V,VISA_V 370A-W/STD/001,VISA_V 370A-W,001,"Koh, Germaine"
UBCV,2024-2025,PCE,3007,Restricted,2025-01-21,9:00,12:00,STD,VISA-V,VISA_V 370A-W/STD/001,VISA_V 370A-W,001,"Koh, Germaine"
UBCV,2024-2025,PCE,3007,Restricted,2025-01-14,14:00,17:00,STD,VISA-V,VISA_V 230-W/STD/003,VISA_V 230-W,003,"McCrum, Phillip"
UBCV,2024-2025,PCE,3007,Restricted,2025-01-21,14:00,17:00,STD,VISA-V,VISA_V 230-W/STD/003,VISA_V 230-W,003,"McCrum, Phillip"
UBCV,2024-2025,PCE,3007,Restricted,2025-01-14,17:00,20:00,STD,VISA-V,VISA_V 180-W/STD/L11,VISA_V 180-W,L11, 
UBCV,2024-2025,PCE,3007,Restricted,2025-01-21,17:00,20:00,STD,VISA-V,VISA_V 180-W/STD/L11,VISA_V 180-W,L11, 
UBCV,2024-2025,PCE,3007,Restricted,2025-01-15,9:00,12:00,STD,VISA-V,VISA_V 220-W/STD/004,VISA_V 220-W,004,"Gu, Xiong"
UBCV,2024-2025,PCE,3007,Restricted,2025-01-22,9:00,12:00,STD,VISA-V,VISA_V 220-W/STD/004,VISA_V 220-W,004,"Gu, Xiong"
UBCV,2024-2025,PCE,3007,Restricted,2025-01-16,14:00,17:00,STD,VISA-V,VISA_V 331-W/STD/001,VISA_V 331-W,001,"McCrum, Phillip"
