Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,RITS,230,Restricted,2025-01-14,9:30,11:00,LEC,LLED-V,LLED_V 201-W/LEC/001,LLED_V 201-W,001,"Kowkabi, Nasrin"
UBCV,2024-2025,RITS,230,Restricted,2025-01-21,9:30,11:00,LEC,LLED-V,LLED_V 201-W/LEC/001,LLED_V 201-W,001,"Kowkabi, Nasrin"
UBCV,2024-2025,RITS,230,Restricted,2025-01-14,11:30,13:00,LEC,LLED-V,LLED_V 201-W/LEC/003,LLED_V 201-W,003,"Ross, Alexandra"
UBCV,2024-2025,RITS,230,Restricted,2025-01-21,11:30,13:00,LEC,LLED-V,LLED_V 201-W/LEC/003,LLED_V 201-W,003,"Ross, Alexandra"
UBCV,2024-2025,RITS,230,Restricted,2025-01-16,9:30,11:00,LEC,LLED-V,LLED_V 201-W/LEC/001,LLED_V 201-W,001,"Kowkabi, Nasrin"
UBCV,2024-2025,RITS,230,Restricted,2025-01-23,9:30,11:00,LEC,LLED-V,LLED_V 201-W/LEC/001,LLED_V 201-W,001,"Kowkabi, Nasrin"
UBCV,2024-2025,RITS,230,Restricted,2025-01-16,11:30,13:00,LEC,LLED-V,LLED_V 201-W/LEC/003,LLED_V 201-W,003,"Ross, Alexandra"
UBCV,2024-2025,RITS,230,Restricted,2025-01-23,11:30,13:00,LEC,LLED-V,LLED_V 201-W/LEC/003,LLED_V 201-W,003,"Ross, Alexandra"
UBCV,2024-2025,RITS,235,Restricted,2025-01-14,9:30,11:00,LEC,LLED-V,LLED_V 201-W/LEC/002,LLED_V 201-W,002,"Zhuravleva, Anastasia"
UBCV,2024-2025,RITS,235,Restricted,2025-01-21,9:30,11:00,LEC,LLED-V,LLED_V 201-W/LEC/002,LLED_V 201-W,002,"Zhuravleva, Anastasia"
UBCV,2024-2025,RITS,235,Restricted,2025-01-16,9:30,11:00,LEC,LLED-V,LLED_V 201-W/LEC/002,LLED_V 201-W,002,"Zhuravleva, Anastasia"
UBCV,2024-2025,RITS,235,Restricted,2025-01-23,9:30,11:00,LEC,LLED-V,LLED_V 201-W/LEC/002,LLED_V 201-W,002,"Zhuravleva, Anastasia"
UBCV,2024-2025,RITS,236,Restricted,2025-01-14,11:30,13:00,LEC,LLED-V,LLED_V 201-W/LEC/004,LLED_V 201-W,004, 
UBCV,2024-2025,RITS,236,Restricted,2025-01-21,11:30,13:00,LEC,LLED-V,LLED_V 201-W/LEC/004,LLED_V 201-W,004, 
UBCV,2024-2025,RITS,236,Restricted,2025-01-15,9:30,12:30,LEC,LLED-V,LLED_V 213-W/LEC/002,LLED_V 213-W,002, 
UBCV,2024-2025,RITS,236,Restricted,2025-01-22,9:30,12:30,LEC,LLED-V,LLED_V 213-W/LEC/002,LLED_V 213-W,002, 
UBCV,2024-2025,RITS,236,Restricted,2025-01-16,11:30,13:00,LEC,LLED-V,LLED_V 201-W/LEC/004,LLED_V 201-W,004, 
UBCV,2024-2025,RITS,236,Restricted,2025-01-23,11:30,13:00,LEC,LLED-V,LLED_V 201-W/LEC/004,LLED_V 201-W,004, 
UBCV,2024-2025,RITS,236,Restricted,2025-01-17,11:30,13:00,SEM,LLED-V,LLED_V 213-W/SEM/L02,LLED_V 213-W,L02, 
UBCV,2024-2025,RITS,236,Restricted,2025-01-24,11:30,13:00,SEM,LLED-V,LLED_V 213-W/SEM/L02,LLED_V 213-W,L02, 
