Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,BUTO,1112,Restricted,2025-02-03,9:30,12:00,SEM,HIST-V,HIST_V 575A-W/201,HIST_V 575A-W,201,"Roosa, John"
UBCV,2024-2025,BUTO,1112,Restricted,2025-02-10,9:30,12:00,SEM,HIST-V,HIST_V 575A-W/201,HIST_V 575A-W,201,"Roosa, John"
UBCV,2024-2025,BUTO,1112,Restricted,2025-02-04,15:00,17:30,SEM,HIST-V,HIST_V 595B-W/SEM/201,HIST_V 595B-W,201,"Yu, Henry"
UBCV,2024-2025,BUTO,1112,Restricted,2025-02-11,15:00,17:30,SEM,HIST-V,HIST_V 595B-W/SEM/201,HIST_V 595B-W,201,"Yu, Henry"
UBCV,2024-2025,BUTO,1112,Restricted,2025-02-05,10:00,12:00,SEM,HIST-V,HIST_V 333C-W/SEM/001,HIST_V 333C-W,001,"Morton, David"
UBCV,2024-2025,BUTO,1112,Restricted,2025-02-12,10:00,12:00,SEM,HIST-V,HIST_V 333C-W/SEM/001,HIST_V 333C-W,001,"Morton, David"
UBCV,2024-2025,BUTO,1112,Restricted,2025-02-06,14:00,16:00,SEM,HIST-V,HIST_V 433-W/SEM/001,HIST_V 433-W,001,"Shin, Leo"
UBCV,2024-2025,BUTO,1112,Restricted,2025-02-13,14:00,16:00,SEM,HIST-V,HIST_V 433-W/SEM/001,HIST_V 433-W,001,"Shin, Leo"
UBCV,2024-2025,BUTO,1133,Restricted,2025-02-04,14:00,16:00,SEM,HIST-V,HIST_V 421D-W/SEM/201, ,201,"Paris, Leslie"
UBCV,2024-2025,BUTO,1133,Restricted,2025-02-11,14:00,16:00,SEM,HIST-V,HIST_V 421D-W/SEM/201, ,201,"Paris, Leslie"
UBCV,2024-2025,BUTO,1226,Restricted,2025-02-05,13:00,15:30,SEM,HIST-V,HIST_V 699-W/SEM/201,HIST_V 699-W,201,"Brain, Robert"
