Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,FSC,1001,General,2025-02-03,9:00,10:00,LEC,CHBE-V,CHBE_V 505-W/LEC/201,CHBE_V 505-W,201,"Hatzikiriakos, Savvas"
UBCV,2024-2025,FSC,1001,General,2025-02-10,9:00,10:00,LEC,CHBE-V,CHBE_V 505-W/LEC/201,CHBE_V 505-W,201,"Hatzikiriakos, Savvas"
UBCV,2024-2025,FSC,1001,General,2025-02-03,10:00,11:00,LEC,NRES-V,NRES_V 150-W/LEC/201, ,201,"Cuff, Lindsay"
UBCV,2024-2025,FSC,1001,General,2025-02-10,10:00,11:00,LEC,NRES-V,NRES_V 150-W/LEC/201, ,201,"Cuff, Lindsay"
UBCV,2024-2025,FSC,1001,General,2025-02-03,11:00,12:00,LEC,MECH-V,MECH_V 225-W/LEC/2AB,MECH_V 225-W,2AB,"Hendra, Graham"
UBCV,2024-2025,FSC,1001,General,2025-02-10,11:00,12:00,LEC,MECH-V,MECH_V 225-W/LEC/2AB,MECH_V 225-W,2AB,"Hendra, Graham"
UBCV,2024-2025,FSC,1001,General,2025-02-03,12:00,13:00,LEC,FRST-V,FRST_V 531-W/LEC/201,FRST_V 531-W,201,"Ahmed, Suborna"
UBCV,2024-2025,FSC,1001,General,2025-02-10,12:00,13:00,LEC,FRST-V,FRST_V 531-W/LEC/201,FRST_V 531-W,201,"Ahmed, Suborna"
UBCV,2024-2025,FSC,1001,General,2025-02-03,13:00,14:00,LEC,LFS-V,LFS_V 101-W/LEC/LEC/201, ,201,"Gulati, Sumeet"
UBCV,2024-2025,FSC,1001,General,2025-02-10,13:00,14:00,LEC,LFS-V,LFS_V 101-W/LEC/LEC/201, ,201,"Gulati, Sumeet"
UBCV,2024-2025,FSC,1001,General,2025-02-03,14:00,15:00,LEC,LFS-V,LFS_V 110-W/LEC/101, , ,"Tomaselli Crespo, Maria"
UBCV,2024-2025,FSC,1001,General,2025-02-10,14:00,15:00,LEC,LFS-V,LFS_V 110-W/LEC/101, , ,"Tomaselli Crespo, Maria"
UBCV,2024-2025,FSC,1001,General,2025-02-03,15:00,16:00,LEC,FRST-V,FRST_V 101-W/LEC/201, ,201,"Gulati, Sumeet"
UBCV,2024-2025,FSC,1001,General,2025-02-10,15:00,16:00,LEC,FRST-V,FRST_V 101-W/LEC/201, ,201,"Gulati, Sumeet"
UBCV,2024-2025,FSC,1001,General,2025-02-04,11:00,12:30,LEC,MECH-V,MECH_V 470-W/LEC/201,MECH_V 470-W,201,"Mhanna, Mhanna"
UBCV,2024-2025,FSC,1001,General,2025-02-11,11:00,12:30,LEC,MECH-V,MECH_V 470-W/LEC/201,MECH_V 470-W,201,"Mhanna, Mhanna"
UBCV,2024-2025,FSC,1001,General,2025-02-04,12:30,14:00,LEC,FOPR-V,FOPR_V 362-W/LEC/201,FOPR_V 362-W,201,"Salmon, Lee"
UBCV,2024-2025,FSC,1001,General,2025-02-11,12:30,14:00,LEC,FOPR-V,FOPR_V 362-W/LEC/201,FOPR_V 362-W,201,"Salmon, Lee"
UBCV,2024-2025,FSC,1001,General,2025-02-04,14:00,16:00,DIS,FRST-V,FRST_V 423-W/DIS/T01,FRST_V 423-W,T01,"Coupland, Kathleen Dawn"
UBCV,2024-2025,FSC,1001,General,2025-02-11,14:00,16:00,DIS,FRST-V,FRST_V 423-W/DIS/T01,FRST_V 423-W,T01,"Coupland, Kathleen Dawn"
UBCV,2024-2025,FSC,1001,General,2025-02-04,16:00,17:30,LEC,FRE-V,FRE_V 585-W/LEC/002, ,002,"Johnson, Michael"
UBCV,2024-2025,FSC,1001,General,2025-02-11,16:00,17:30,LEC,FRE-V,FRE_V 585-W/LEC/002, ,002,"Johnson, Michael"
UBCV,2024-2025,FSC,1001,General,2025-02-05,9:00,10:00,LEC,CHBE-V,CHBE_V 505-W/LEC/201,CHBE_V 505-W,201,"Hatzikiriakos, Savvas"
UBCV,2024-2025,FSC,1001,General,2025-02-12,9:00,10:00,LEC,CHBE-V,CHBE_V 505-W/LEC/201,CHBE_V 505-W,201,"Hatzikiriakos, Savvas"
UBCV,2024-2025,FSC,1001,General,2025-02-05,10:00,11:00,LEC,NRES-V,NRES_V 150-W/LEC/201, ,201,"Cuff, Lindsay"
UBCV,2024-2025,FSC,1001,General,2025-02-12,10:00,11:00,LEC,NRES-V,NRES_V 150-W/LEC/201, ,201,"Cuff, Lindsay"
UBCV,2024-2025,FSC,1001,General,2025-02-05,11:00,12:00,LEC,MECH-V,MECH_V 225-W/LEC/2AB,MECH_V 225-W,2AB,"Hendra, Graham"
UBCV,2024-2025,FSC,1001,General,2025-02-12,11:00,12:00,LEC,MECH-V,MECH_V 225-W/LEC/2AB,MECH_V 225-W,2AB,"Hendra, Graham"
UBCV,2024-2025,FSC,1001,General,2025-02-05,12:00,13:00,LEC,FRST-V,FRST_V 531-W/LEC/201,FRST_V 531-W,201,"Ahmed, Suborna"
UBCV,2024-2025,FSC,1001,General,2025-02-12,12:00,13:00,LEC,FRST-V,FRST_V 531-W/LEC/201,FRST_V 531-W,201,"Ahmed, Suborna"
UBCV,2024-2025,FSC,1001,General,2025-02-05,13:00,14:00,LEC,LFS-V,LFS_V 101-W/LEC/LEC/201, ,201,"Gulati, Sumeet"
UBCV,2024-2025,FSC,1001,General,2025-02-12,13:00,14:00,LEC,LFS-V,LFS_V 101-W/LEC/LEC/201, ,201,"Gulati, Sumeet"
UBCV,2024-2025,FSC,1001,General,2025-02-05,14:00,15:00,LAB,LFS-V,LFS_V 110-W/LAB/L01, , ,"Tomaselli Crespo, Maria"
UBCV,2024-2025,FSC,1001,General,2025-02-12,14:00,15:00,LAB,LFS-V,LFS_V 110-W/LAB/L01, , ,"Tomaselli Crespo, Maria"
UBCV,2024-2025,FSC,1001,General,2025-02-05,15:00,18:00,LEC,FRST-V,FRST_V 490-W/LEC/101, ,101,"Andrews-Key, Sheri"
UBCV,2024-2025,FSC,1001,General,2025-02-12,15:00,18:00,LEC,FRST-V,FRST_V 490-W/LEC/101, ,101,"Andrews-Key, Sheri"
UBCV,2024-2025,FSC,1001,General,2025-02-06,11:00,12:30,LEC,MECH-V,MECH_V 470-W/LEC/201,MECH_V 470-W,201,"Mhanna, Mhanna"
UBCV,2024-2025,FSC,1001,General,2025-02-13,11:00,12:30,LEC,MECH-V,MECH_V 470-W/LEC/201,MECH_V 470-W,201,"Mhanna, Mhanna"
UBCV,2024-2025,FSC,1001,General,2025-02-06,12:30,14:00,LEC,FOPR-V,FOPR_V 362-W/LEC/201,FOPR_V 362-W,201,"Salmon, Lee"
UBCV,2024-2025,FSC,1001,General,2025-02-13,12:30,14:00,LEC,FOPR-V,FOPR_V 362-W/LEC/201,FOPR_V 362-W,201,"Salmon, Lee"
UBCV,2024-2025,FSC,1001,General,2025-02-06,16:00,17:30,LEC,FRE-V,FRE_V 585-W/LEC/002, ,002,"Johnson, Michael"
UBCV,2024-2025,FSC,1001,General,2025-02-13,16:00,17:30,LEC,FRE-V,FRE_V 585-W/LEC/002, ,002,"Johnson, Michael"
UBCV,2024-2025,FSC,1001,General,2025-02-06,9:30,11:00,RSH,FNH-V,FNH_V 451-W/RSH/002,FNH_V 451-W,002,"Lamers, Katja Yvonne"
UBCV,2024-2025,FSC,1001,General,2025-02-13,9:30,11:00,RSH,FNH-V,FNH_V 451-W/RSH/002,FNH_V 451-W,002,"Lamers, Katja Yvonne"
UBCV,2024-2025,FSC,1001,General,2025-02-06,14:00,16:00,LAB,DSCI-V,DSCI_V 524-W/L04,DSCI_V 524-W,L04,"Chen, Daniel"
UBCV,2024-2025,FSC,1001,General,2025-02-13,14:00,16:00,LAB,DSCI-V,DSCI_V 574-W/L02,DSCI_V 574-W,L02,"Burak, Katherine"
UBCV,2024-2025,FSC,1001,General,2025-02-07,9:00,10:00,LEC,CHBE-V,CHBE_V 505-W/LEC/201,CHBE_V 505-W,201,"Hatzikiriakos, Savvas"
UBCV,2024-2025,FSC,1001,General,2025-02-14,9:00,10:00,LEC,CHBE-V,CHBE_V 505-W/LEC/201,CHBE_V 505-W,201,"Hatzikiriakos, Savvas"
UBCV,2024-2025,FSC,1001,General,2025-02-07,10:00,11:00,LEC,NRES-V,NRES_V 150-W/LEC/201, ,201,"Cuff, Lindsay"
UBCV,2024-2025,FSC,1001,General,2025-02-14,10:00,11:00,LEC,NRES-V,NRES_V 150-W/LEC/201, ,201,"Cuff, Lindsay"
UBCV,2024-2025,FSC,1001,General,2025-02-07,12:00,13:00,LEC,FRST-V,FRST_V 531-W/LEC/201,FRST_V 531-W,201,"Ahmed, Suborna"
UBCV,2024-2025,FSC,1001,General,2025-02-14,12:00,13:00,LEC,FRST-V,FRST_V 531-W/LEC/201,FRST_V 531-W,201,"Ahmed, Suborna"
UBCV,2024-2025,FSC,1001,General,2025-02-07,13:00,14:00,LEC,LFS-V,LFS_V 101-W/LEC/LEC/201, ,201,"Gulati, Sumeet"
UBCV,2024-2025,FSC,1001,General,2025-02-14,13:00,14:00,LEC,LFS-V,LFS_V 101-W/LEC/LEC/201, ,201,"Gulati, Sumeet"
UBCV,2024-2025,FSC,1001,General,2025-02-07,14:00,15:00,DIS,LFS-V,FRST_V 110-W/DIS/T01, , ,"Tomaselli Crespo, Maria"
UBCV,2024-2025,FSC,1001,General,2025-02-14,14:00,15:00,DIS,LFS-V,FRST_V 110-W/DIS/T01, , ,"Tomaselli Crespo, Maria"
UBCV,2024-2025,FSC,1001,General,2025-02-07,15:00,17:00,SEM,FRE-V,FRE_V 520-W/SEM/003,FRE_V 520-W,003,"Wiseman, Kelleen"
