Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,GEOG,115,Restricted,2025-02-03,10:00,12:00,LAB,GEOS-V,GEOS_V 270-W/LAB/L2A,GEOS_V 270-W,L2A,"Everhart, Avery"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-10,10:00,12:00,LAB,GEOS-V,GEOS_V 270-W/LAB/L2A,GEOS_V 270-W,L2A,"Everhart, Avery"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-03,12:00,14:00,LAB,GEOS-V,GEOS_V 370-W/LAB/L2A,GEOS_V 370-W,L2A,"Liu, Tianjia"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-10,12:00,14:00,LAB,GEOS-V,GEOS_V 370-W/LAB/L2A,GEOS_V 370-W,L2A,"Liu, Tianjia"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-03,14:00,16:00,LAB,GEOG-V,GEOG_V 374-W/LAB/L2A,GEOG_V 374-W,L2A,"Hewitt, Nina"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-10,14:00,16:00,LAB,GEOG-V,GEOG_V 374-W/LAB/L2A,GEOG_V 374-W,L2A,"Hewitt, Nina"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-03,16:00,18:00,LAB,GEOG-V,GEOG_V 374-W/LAB/L2E,GEOG_V 374-W,L2E,"Hewitt, Nina"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-10,16:00,18:00,LAB,GEOG-V,GEOG_V 374-W/LAB/L2E,GEOG_V 374-W,L2E,"Hewitt, Nina"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-04,10:00,12:00,LAB,GEOS-V,GEOS_V 270-W/LAB/L2B,GEOS_V 270-W,L2B,"Everhart, Avery"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-11,10:00,12:00,LAB,GEOS-V,GEOS_V 270-W/LAB/L2B,GEOS_V 270-W,L2B,"Everhart, Avery"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-04,12:00,14:00,LAB,GEOG-V,GEOG_V 374-W/LAB/L2B,GEOG_V 374-W,L2B,"Hewitt, Nina"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-11,12:00,14:00,LAB,GEOG-V,GEOG_V 374-W/LAB/L2B,GEOG_V 374-W,L2B,"Hewitt, Nina"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-04,16:00,18:00,LAB,GEOS-V,GEOS_V 373-W/LAB/L2A,GEOS_V 373-W,L2A,"Schwartz, Naomi Beth"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-11,16:00,18:00,LAB,GEOS-V,GEOS_V 373-W/LAB/L2A,GEOS_V 373-W,L2A,"Schwartz, Naomi Beth"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-05,10:00,12:00,LAB,GEOS-V,GEOS_V 373-W/LAB/L2B,GEOS_V 373-W,L2B,"Schwartz, Naomi Beth"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-12,10:00,12:00,LAB,GEOS-V,GEOS_V 373-W/LAB/L2B,GEOS_V 373-W,L2B,"Schwartz, Naomi Beth"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-05,12:00,14:00,LAB,GEOS-V,GEOS_V 270-W/LAB/L2C,GEOS_V 270-W,L2C,"Everhart, Avery"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-12,12:00,14:00,LAB,GEOS-V,GEOS_V 270-W/LAB/L2C,GEOS_V 270-W,L2C,"Everhart, Avery"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-05,14:00,16:00,LAB,GEOS-V,GEOS_V 373-W/LAB/L2C,GEOS_V 373-W,L2C,"Schwartz, Naomi Beth"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-12,14:00,16:00,LAB,GEOS-V,GEOS_V 373-W/LAB/L2C,GEOS_V 373-W,L2C,"Schwartz, Naomi Beth"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-05,16:00,18:00,LAB,GEOS-V,GEOS_V 270-W/LAB/L2D,GEOS_V 270-W,L2D,"Everhart, Avery"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-12,16:00,18:00,LAB,GEOS-V,GEOS_V 270-W/LAB/L2D,GEOS_V 270-W,L2D,"Everhart, Avery"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-06,10:00,12:00,LAB,GEOS-V,GEOS_V 370-W/LAB/L2B,GEOS_V 370-W,L2B,"Liu, Tianjia"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-13,10:00,12:00,LAB,GEOS-V,GEOS_V 370-W/LAB/L2B,GEOS_V 370-W,L2B,"Liu, Tianjia"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-06,12:00,14:00,LAB,GEOG-V,GEOG_V 374-W/LAB/L2C,GEOG_V 374-W,L2C,"Hewitt, Nina"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-13,12:00,14:00,LAB,GEOG-V,GEOG_V 374-W/LAB/L2C,GEOG_V 374-W,L2C,"Hewitt, Nina"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-07,10:00,12:00,LAB,GEOG-V,GEOG_V 374-W/LAB/L2D,GEOG_V 374-W,L2D,"Hewitt, Nina"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-14,10:00,12:00,LAB,GEOG-V,GEOG_V 374-W/LAB/L2D,GEOG_V 374-W,L2D,"Hewitt, Nina"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-07,12:00,14:00,LAB,GEOS-V,GEOS_V 370-W/LAB/L2C,GEOS_V 370-W,L2C,"Liu, Tianjia"
UBCV,2024-2025,GEOG,115,Restricted,2025-02-14,12:00,14:00,LAB,GEOS-V,GEOS_V 370-W/LAB/L2C,GEOS_V 370-W,L2C,"Liu, Tianjia"
UBCV,2024-2025,GEOG,130,Restricted,2025-02-03,12:00,13:00,DIS,GEOG-V,GEOG_V 122-W/DIS/L2V,GEOG_V 122-W,L2V,"Barnes, Trevor"
UBCV,2024-2025,GEOG,130,Restricted,2025-02-10,12:00,13:00,DIS,GEOG-V,GEOG_V 122-W/DIS/L2V,GEOG_V 122-W,L2V,"Barnes, Trevor"
UBCV,2024-2025,GEOG,130,Restricted,2025-02-03,13:00,14:00,LAB,GEOS-V,GEOS_V 102-W/LAB/L2M,GEOS_V 102-W,L2M,"Kuhn, McKenzie"
UBCV,2024-2025,GEOG,130,Restricted,2025-02-10,13:00,14:00,LAB,GEOS-V,GEOS_V 102-W/LAB/L2M,GEOS_V 102-W,L2M,"Kuhn, McKenzie"
UBCV,2024-2025,GEOG,130,Restricted,2025-02-03,14:00,15:00,LAB,GEOS-V,GEOS_V 102-W/LAB/L2K,GEOS_V 102-W,L2K,"Kuhn, McKenzie"
UBCV,2024-2025,GEOG,130,Restricted,2025-02-10,14:00,15:00,LAB,GEOS-V,GEOS_V 102-W/LAB/L2K,GEOS_V 102-W,L2K,"Kuhn, McKenzie"
