Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,LSK,200,General,2025-05-12,10:30,12:30,LEC,MATH-V,MATH_V 257-S/LEC/921, , ,"Kenne, Steve Cyrille"
UBCV,2024-2025,LSK,200,General,2025-05-13,12:30,14:00,LEC,MATH-V,MATH_V 257-S/LEC/921, , ,"Kenne, Steve Cyrille"
UBCV,2024-2025,LSK,200,General,2025-05-13,15:00,17:00,LEC,MATH-V,MATH_V 302-S/LEC/921,MATH_V 302-S,921,"Plan, Yaniv"
UBCV,2024-2025,LSK,200,General,2025-05-14,10:30,12:30,LEC,MATH-V,MATH_V 257-S/LEC/921, , ,"Kenne, Steve Cyrille"
UBCV,2024-2025,LSK,200,General,2025-05-14,15:00,16:00,LEC,MATH-V,MATH_V 302-S/LEC/921,MATH_V 302-S,921,"Plan, Yaniv"
UBCV,2024-2025,LSK,200,General,2025-05-15,12:30,14:00,LEC,MATH-V,MATH_V 257-S/LEC/921, , ,"Kenne, Steve Cyrille"
UBCV,2024-2025,LSK,200,General,2025-05-15,15:00,17:00,LEC,MATH-V,MATH_V 302-S/LEC/921,MATH_V 302-S,921,"Plan, Yaniv"
UBCV,2024-2025,LSK,200,General,2025-05-16,15:00,17:00,LEC,MATH-V,MATH_V 302-S/LEC/921,MATH_V 302-S,921,"Plan, Yaniv"
UBCV,2024-2025,LSK,201,General,2025-05-12,13:00,15:00,LEC,MATH-V,MATH_V 255-S/LEC/921, , ,"Yeager, Elyse"
UBCV,2024-2025,LSK,201,General,2025-05-13,13:00,15:00,LEC,MATH-V,MATH_V 255-S/LEC/921, , ,"Yeager, Elyse"
UBCV,2024-2025,LSK,201,General,2025-05-13,11:00,13:00,LEC,MATH-V,MATH_V 220-S/LEC/921,MATH_V 220-S,921,"Rechnitzer, Andrew"
UBCV,2024-2025,LSK,201,General,2025-05-14,11:00,12:00,LEC,MATH-V,MATH_V 220-S/LEC/921,MATH_V 220-S,921,"Rechnitzer, Andrew"
UBCV,2024-2025,LSK,201,General,2025-05-14,13:00,14:00,LEC,MATH-V,MATH_V 215-S/LEC/921, , ,"Yeager, Elyse"
UBCV,2024-2025,LSK,201,General,2025-05-15,11:00,13:00,LEC,MATH-V,MATH_V 220-S/LEC/921,MATH_V 220-S,921,"Rechnitzer, Andrew"
UBCV,2024-2025,LSK,201,General,2025-05-16,13:00,15:00,LEC,MATH-V,MATH_V 255-S/LEC/921, , ,"Yeager, Elyse"
UBCV,2024-2025,LSK,201,General,2025-05-16,11:00,13:00,LEC,MATH-V,MATH_V 220-S/LEC/921,MATH_V 220-S,921,"Rechnitzer, Andrew"
UBCV,2024-2025,LSK,460,General,2025-05-13,10:00,11:00,DIS,MATH-V,MATH_V 100-S/DIS/002,MATH_V 100-S,002,"Thimm, Felix"
UBCV,2024-2025,LSK,460,General,2025-05-13,11:00,12:00,DIS,MATH-V,MATH_V 100-S/DIS/003,MATH_V 100-S,003,"Thimm, Felix"
UBCV,2024-2025,LSK,460,General,2025-05-13,12:00,13:00,DIS,MATH-V,MATH_V 100-S/DIS/004,MATH_V 100-S,004,"Thimm, Felix"
UBCV,2024-2025,LSK,460,General,2025-05-13,13:00,14:00,DIS,MATH-V,MATH_V 100-S/DIS/005,MATH_V 100-S,005,"Thimm, Felix"
UBCV,2024-2025,LSK,460,General,2025-05-15,10:00,11:00,DIS,MATH-V,MATH_V 100-S/DIS/002,MATH_V 100-S,002,"Thimm, Felix"
UBCV,2024-2025,LSK,460,General,2025-05-15,11:00,12:00,DIS,MATH-V,MATH_V 100-S/DIS/003,MATH_V 100-S,003,"Thimm, Felix"
UBCV,2024-2025,LSK,460,General,2025-05-15,12:00,13:00,DIS,MATH-V,MATH_V 100-S/DIS/004,MATH_V 100-S,004,"Thimm, Felix"
UBCV,2024-2025,LSK,460,General,2025-05-15,13:00,14:00,DIS,MATH-V,MATH_V 100-S/DIS/005,MATH_V 100-S,005,"Thimm, Felix"
UBCV,2024-2025,LSK,462,General,2025-05-12,10:00,12:00,SEM,SCIE-V,SCIE_V 113-S/SEM/10A,SCIE_V 113-S,10A,"Graves, Marcia"
UBCV,2024-2025,LSK,462,General,2025-05-12,13:00,15:00,SEM,SCIE-V,SCIE_V 113-S/SEM/13A,SCIE_V 113-S,13A,"Whelan, Thomas"
UBCV,2024-2025,LSK,462,General,2025-05-14,10:00,12:00,SEM,SCIE-V,SCIE_V 113-S/SEM/10A,SCIE_V 113-S,10A,"Graves, Marcia"
UBCV,2024-2025,LSK,462,General,2025-05-14,13:00,15:00,SEM,SCIE-V,SCIE_V 113-S/SEM/13A,SCIE_V 113-S,13A,"Whelan, Thomas"
UBCV,2024-2025,LSK,462,General,2025-05-16,10:00,12:00,SEM,SCIE-V,SCIE_V 113-S/SEM/10A,SCIE_V 113-S,10A,"Graves, Marcia"
UBCV,2024-2025,LSK,462,General,2025-05-16,13:00,15:00,SEM,SCIE-V,SCIE_V 113-S/SEM/13A,SCIE_V 113-S,13A,"Whelan, Thomas"
