Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2023-2024,SWNG,105,General,2024-03-25,9:00,10:00,LEC,BIOL-V,BIOL 303-W/LEC/1,BIOL 303-W,201,"Rosado Rey, Abel"
UBCV,2023-2024,SWNG,105,General,2024-04-01,9:00,10:00,LEC,BIOL-V,BIOL 303-W/LEC/1,BIOL 303-W,201,"Rosado Rey, Abel"
UBCV,2023-2024,SWNG,105,General,2024-03-25,10:00,11:30,LEC,CHBE-V,CHBE 551-W/LEC/001, , ,"Srebnik, Simcha"
UBCV,2023-2024,SWNG,105,General,2024-04-01,10:00,11:30,LEC,CHBE-V,CHBE 551-W/LEC/001, , ,"Srebnik, Simcha"
UBCV,2023-2024,SWNG,105,General,2024-03-25,14:00,15:00,LEC,SPAN-V,SPAN 302-W/LEC/202,SPAN 302-W,202,"Carbonetti, Maria"
UBCV,2023-2024,SWNG,105,General,2024-04-01,14:00,15:00,LEC,SPAN-V,SPAN 302-W/LEC/202,SPAN 302-W,202,"Carbonetti, Maria"
UBCV,2023-2024,SWNG,105,General,2024-03-25,15:00,16:30,LEC,CPSC-V,CPSC 532V-W/LEC/201,CPSC 532V-W,201,"Shwartz, Vered"
UBCV,2023-2024,SWNG,105,General,2024-04-01,15:00,16:30,LEC,CPSC-V,CPSC 532V-W/LEC/201,CPSC 532V-W,201,"Shwartz, Vered"
UBCV,2023-2024,SWNG,105,General,2024-03-26,8:00,9:00,TUT,MECH-V,MECH 223-W/TUT/T2A,MECH 223-W,T2A, 
UBCV,2023-2024,SWNG,105,General,2024-04-02,8:00,9:00,TUT,MECH-V,MECH 223-W/TUT/T2A,MECH 223-W,T2A, 
UBCV,2023-2024,SWNG,105,General,2024-03-26,9:30,12:00,WRB-ACTIVE,WRB_UBC,Phys 108 Midterm2 26-Mar-2024 9:30 - SWNG 105, , , 
UBCV,2023-2024,SWNG,105,General,2024-03-26,12:30,14:00,LEC,BIOL-V,BIOL 348-W/LEC/1,BIOL 348-W,201,"Goedhart, Christine"
UBCV,2023-2024,SWNG,105,General,2024-04-02,12:30,14:00,LEC,BIOL-V,BIOL 348-W/LEC/1,BIOL 348-W,201,"Goedhart, Christine"
UBCV,2023-2024,SWNG,105,General,2024-03-26,14:00,15:00,WRB-ACTIVE,WRB_UBC,"TA Office Hour Tuesday (week(s): January 8, 2024-April 8, 2024) 14:00 - SWNG 105", , , 
UBCV,2023-2024,SWNG,105,General,2024-04-02,14:00,15:00,WRB-ACTIVE,WRB_UBC,"TA Office Hour Tuesday (week(s): January 8, 2024-April 8, 2024) 14:00 - SWNG 105", , , 
UBCV,2023-2024,SWNG,106,General,2024-03-26,15:30,17:00,TUT,LFS-V,LFS 250-W/TUT/T01,LFS 250-W,T01,"Mitchell, Matthew"
UBCV,2023-2024,SWNG,106,General,2024-04-02,15:30,17:00,TUT,LFS-V,LFS 250-W/TUT/T01,LFS 250-W,T01,"Mitchell, Matthew"
UBCV,2023-2024,SWNG,110,General,2024-03-26,15:30,17:00,TUT,LFS-V,LFS 250-W/TUT/T01,LFS 250-W,T01,"Valley, William"
UBCV,2023-2024,SWNG,110,General,2024-04-02,15:30,17:00,TUT,LFS-V,LFS 250-W/TUT/T01,LFS 250-W,T01,"Valley, William"
UBCV,2023-2024,SWNG,107,General,2024-03-26,15:30,17:00,TUT,LFS-V,LFS 250-W/TUT/T01,LFS 250-W,T01,"Lewis, Delisa"
UBCV,2023-2024,SWNG,107,General,2024-04-02,15:30,17:00,TUT,LFS-V,LFS 250-W/TUT/T01,LFS 250-W,T01,"Lewis, Delisa"
UBCV,2023-2024,SWNG,105,General,2024-03-26,15:30,17:00,TUT,LFS-V,LFS 250-W/TUT/T01,LFS 250-W,T01,"Mitchell, Matthew"
UBCV,2023-2024,SWNG,105,General,2024-04-02,15:30,17:00,TUT,LFS-V,LFS 250-W/TUT/T01,LFS 250-W,T01,"Mitchell, Matthew"
UBCV,2023-2024,SWNG,109,General,2024-03-26,15:30,17:00,TUT,LFS-V,LFS 250-W/TUT/T01,LFS 250-W,T01,"Valley, William"
UBCV,2023-2024,SWNG,109,General,2024-04-02,15:30,17:00,TUT,LFS-V,LFS 250-W/TUT/T01,LFS 250-W,T01,"Valley, William"
UBCV,2023-2024,SWNG,105,General,2024-03-26,17:30,20:00,WRB-ACTIVE,WRB_UBC,Ennovate March GM 26-Mar-2024 17:30 - SWNG 105, , , 
UBCV,2023-2024,SWNG,105,General,2024-03-27,9:00,10:00,LEC,BIOL-V,BIOL 303-W/LEC/1,BIOL 303-W,201,"Rosado Rey, Abel"
UBCV,2023-2024,SWNG,105,General,2024-04-03,9:00,10:00,LEC,BIOL-V,BIOL 303-W/LEC/1,BIOL 303-W,201,"Rosado Rey, Abel"
UBCV,2023-2024,SWNG,105,General,2024-03-27,10:00,11:30,LEC,CHBE-V,CHBE 551-W/LEC/001, , ,"Srebnik, Simcha"
UBCV,2023-2024,SWNG,105,General,2024-04-03,10:00,11:30,LEC,CHBE-V,CHBE 551-W/LEC/001, , ,"Srebnik, Simcha"
UBCV,2023-2024,SWNG,105,General,2024-03-27,14:00,15:00,LEC,SPAN-V,SPAN 302-W/LEC/202,SPAN 302-W,202,"Carbonetti, Maria"
UBCV,2023-2024,SWNG,105,General,2024-04-03,14:00,15:00,LEC,SPAN-V,SPAN 302-W/LEC/202,SPAN 302-W,202,"Carbonetti, Maria"
UBCV,2023-2024,SWNG,105,General,2024-03-27,15:00,16:30,LEC,CPSC-V,CPSC 532V-W/LEC/201,CPSC 532V-W,201,"Shwartz, Vered"
UBCV,2023-2024,SWNG,105,General,2024-04-03,15:00,16:30,LEC,CPSC-V,CPSC 532V-W/LEC/201,CPSC 532V-W,201,"Shwartz, Vered"
UBCV,2023-2024,SWNG,105,General,2024-03-28,8:00,9:00,TUT,MECH-V,MECH 223-W/TUT/T2A,MECH 223-W,T2A, 
UBCV,2023-2024,SWNG,105,General,2024-04-04,8:00,9:00,TUT,MECH-V,MECH 223-W/TUT/T2A,MECH 223-W,T2A, 
UBCV,2023-2024,SWNG,105,General,2024-03-28,12:30,14:00,LEC,BIOL-V,BIOL 348-W/LEC/1,BIOL 348-W,201,"Goedhart, Christine"
